,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0044905953,0.006462018,-0.0038670474,0.11351683,0.052330744,0.02802616,0.2708381,-0.009970358,0.039865956,0.0068375915,-0.019854628,0.084376395,0.016185202,0.024281463,-0.003416963,0.041450385,-0.004989157,0.0050514317,0.11256358,0.057720207,0.016824642,0.06692503,-0.00295743,0.038653087,-0.0020770293,-0.004983495,-0.003534002,0.049460396,0.06205996,0.002753527,-0.0014002942,0.012511191,0.03289516,0.009490595,0.021462018,0.0011329526,0.11851683,0.037330743,0.03052616,0.2708381,0.0050296416,0.039865956,0.016837591,0.00014537177,0.0893764,0.008685201,0.026781462,0.0015830369,0.048950385,1.0843026e-05,5.143205e-05,0.11506358,0.052720208,0.009324642,0.06442503,0.00204257,0.031153088,0.00042297054,1.6504802e-05,0.0014659979,0.0394604,0.06205996,0.007753527,0.0010997057,0.005011191,0.02789516
2,0.083538726,-0.0909566,-0.007667401,-0.013369818,0.14214526,0.030833716,0.03912832,-0.108345926,0.089869216,-0.06333361,-0.06677453,0.024059676,0.0072710714,-0.006253127,-0.060864676,0.045360785,-0.04789631,0.06937219,0.0918844,0.071117304,-0.13991389,0.22770256,0.026703425,-0.10076331,0.0904079,-0.07100963,0.009839663,0.088424146,-0.066450715,0.032239117,0.04476551,0.113751784,-0.0027224133,0.014361246,0.004044176,1.6019912e-05,0.012798385,0.03267475,0.06016776,0.027887544,0.0102499705,0.07895945,1.227497e-05,0.04087879,0.11537225,0.0017992203,0.017425258,0.0013794859,0.028493114,0.0006648039,0.043257248,0.027176967,0.016718244,0.00021993197,0.003212974,0.026968095,0.0025024393,0.0048035616,0.003428218,0.028099352,0.0010121571,0.002454979,0.012450569,0.10843353,0.038350087,0.0030975565
3,0.062640734,-0.032716442,-0.06789692,-0.03883484,0.10185222,0.090500936,0.11315058,-0.05812185,-0.073950425,-0.0039625196,-0.03584853,-0.11365038,0.11277036,-0.058523007,-0.047571007,0.1319506,-0.051265676,0.07438529,0.10317738,0.0056431647,0.02922207,0.14476359,0.13739352,0.030869301,0.1632769,-0.017326348,0.09051564,0.05065394,0.064175546,0.016195724,0.29512626,0.22557986,0.014711114,0.00043356334,0.010260444,0.0058472743,0.020681133,0.00034983823,0.030552955,0.0021017282,0.0010769629,0.0068673915,0.012357638,0.046535864,0.012511802,0.07995165,0.018318636,0.003972142,0.016371028,0.0058653965,0.0007406349,0.0995941,0.01103759,0.0016594764,0.008689534,0.04576915,0.026103286,0.06623056,0.057686985,0.02267106,0.007740888,0.003686105,0.0011531437,0.010792843,0.07225057,0.020329615
4,0.015778454,-0.09705246,-0.05431495,-0.067826904,0.12607142,0.01873993,0.16778481,0.020773226,-0.07999896,0.09158233,0.02082342,-0.03930108,0.18520345,-0.052187793,0.010347148,-0.0077985935,0.066334754,0.079051994,-0.04504799,0.12288403,0.06587885,0.06333974,0.13035235,0.04622653,0.09562425,-0.07459018,0.10152743,0.2861755,0.26214713,-0.04661665,-0.041328963,0.2726626,0.09655264,0.008608436,0.00036039803,4.325929e-05,6.886835e-05,0.0022616507,0.0015194763,0.025933944,0.024350287,0.037621737,0.06276388,0.09410462,9.985637e-05,0.026419567,0.02899182,0.03502694,0.035662245,0.03393285,0.005757834,0.016059773,5.849366e-05,0.00067359954,0.046229552,0.006993713,0.06554868,0.05162267,0.008139574,0.014656774,0.06659467,0.083852485,0.0014059008,0.0013380831,0.016266594,0.019433612
5,0.0064692507,0.04946919,0.035688996,0.019073473,0.17933567,0.0024593566,0.14314622,0.0025878884,-0.072623424,0.18364221,0.02385121,-0.06843969,0.073012576,0.042819656,-0.06334167,-0.037719537,-0.008560745,0.061944395,-0.046216216,0.07213321,-0.051292293,0.08377728,0.09039977,0.05204108,0.11169955,0.003819989,-0.063515484,0.13342555,0.17490216,-0.069631964,-0.10616718,0.009249162,-0.10952301,0.013499324,0.0033501948,0.01161606,0.01164672,0.079292014,0.0063416203,0.017201532,0.021252405,0.04447735,0.0764024,0.009632535,0.078003585,0.007643757,0.0026850828,0.005802868,0.009325807,0.00073015864,0.004746111,0.053335648,0.014872789,0.0002553472,0.02206113,0.012756499,0.06834308,0.018711535,0.024398739,0.031025974,0.08177848,0.012184356,0.02557109,6.62969e-05,0.03640153,0.0003510583
6,0.0018471195,-0.002248261,0.022718795,0.03842525,0.081417955,-0.077195935,0.005629693,-0.056825027,0.0863592,0.030391296,0.024959859,-0.035971545,0.14530107,0.14976314,-0.09515245,0.020320624,-0.011834469,0.0091987755,-0.111230075,0.074391805,-0.021572866,0.19567184,0.062147077,-0.039293725,0.18500668,0.25625446,-0.03665921,0.09733814,0.0021510022,0.055753708,-0.048661847,0.007146248,-0.062489197,0.0061459825,0.00066694355,0.0081572905,0.13428345,0.0008432963,0.00918602,0.0022990564,0.0008542324,0.06730065,0.014044696,0.058024354,0.1119915,0.109678924,0.10710082,0.018379673,0.017202044,0.0024979836,0.007948613,0.0568967,6.1133025e-05,0.030094035,0.048266727,0.014686595,0.010702853,0.0040215077,0.2100557,0.010687182,0.022213103,8.480514e-09,0.0136474725,0.0003911615,0.013657292,0.011250423
7,-0.12037335,-0.07392642,-0.15184622,-0.16979854,0.070408724,-0.015117071,0.0717714,-0.015217315,-0.03963745,0.19946162,0.009165384,0.010564729,0.023680633,-0.033354755,-0.042632382,0.15400715,0.121703036,0.085889444,-0.246099,0.028484933,0.1585498,-0.15138471,0.022360208,-0.09203774,0.06526691,0.07790467,0.027472617,0.2777536,0.18965556,0.010405974,0.254288,0.14067936,-0.03242368,0.0010211836,0.04146265,0.00034304656,0.0049549113,0.0051420205,0.011599236,0.039785765,0.05117104,0.0013679818,0.14321244,0.072115116,1.0463566e-05,0.00035398334,0.00022834756,0.0034959489,0.011468594,0.010535814,0.010742319,0.00083643745,0.001022302,0.0018749674,0.0025897268,2.2414266e-05,6.380441e-05,0.029933318,0.038621258,0.013827072,0.06252048,0.009212413,0.027511189,0.00024822363,0.00308854,0.007356203
8,-0.04577961,0.16434087,0.09366952,0.024698805,-0.0925265,0.0003610308,0.103496596,0.078224905,-0.07936194,0.24136253,0.124818556,0.094388455,0.14675963,0.24595477,0.043294307,-0.04998347,0.21713647,0.011308385,-0.025423987,0.12101425,0.04784009,-0.23944077,0.08250775,-0.03464105,-0.03715211,0.13541296,0.16093937,0.255425,0.28428698,-0.12167056,-0.039578766,-0.039144676,-0.08269454,0.08265469,0.03261374,0.009894779,0.038003985,0.012131639,0.00086834456,0.025548259,0.014962983,0.0052972776,0.0053306087,0.00017757011,0.05416602,0.059217103,0.14531802,0.0024930602,0.024915688,0.02190997,0.0057379403,0.0224752,0.062606774,0.03204872,0.0153650595,0.00053891994,0.082956664,0.027422322,0.017467823,0.0015128055,0.021110505,0.0583629,0.015683683,0.065283425,4.784325e-05,0.00016050176
9,-0.09145409,-0.020335143,0.039814487,0.13576473,0.061780248,-0.08129103,-0.022964347,-0.22018623,0.3201285,-0.047620237,-0.088714644,-0.08640314,-0.07172064,0.18061325,-0.08512956,-0.00039028842,-0.085250326,-0.074367665,-0.17725788,0.001126539,-0.042693753,-0.010985791,-0.0014440864,0.034222294,0.21212684,0.07731853,-0.07470784,0.040993165,-0.14427817,0.08008405,-0.11257607,-0.28233165,-0.15058953,0.026312258,0.00055297615,0.023534551,0.048639733,0.008458366,0.0108586475,0.03572044,0.00022593279,0.06733716,0.038567513,0.0076054535,0.00014584573,0.02426388,0.016550012,0.00014978477,0.0071849776,0.0002591271,0.0009949453,0.0027680558,0.054739907,0.0003082182,0.0034139315,0.039190263,0.0074743284,1.429471e-05,0.0016121111,0.0082306955,0.058660727,0.0046868376,0.013954648,0.0007911536,0.0066685295,0.011354003
