,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t)
0,0.014035238,0.006032875,0.009968542,-0.009540616,0.00994692,0.0060310895,-0.013305637,0.004803624,0.0024024302,0.01128417,0.0046799127,-0.014960672,0.0044326754,-0.014980615,0.019514272,0.028274812,0.015038513,0.055380825,0.0030378124,0.027193133,0.017510474
1,0.021315346,0.0077132797,0.009907057,0.025950631,0.059577953,0.008572921,-0.011410294,0.0071253907,0.036619447,-0.039416876,-0.0022454243,0.015737675,0.016390378,-0.010401068,0.0496909,-0.011695437,0.04184288,-0.022545824,-0.004806107,0.020442437,-0.0010139542
2,-0.01575674,0.0325505,-0.008721168,0.026639733,0.013373744,0.012222624,-0.050692804,0.20172366,-0.033729695,0.013659472,0.0023367526,-0.00960232,-0.012435839,-0.011276867,-0.01654922,0.05480765,0.030481588,0.059418343,0.029825779,0.01828942,0.039626237
3,-0.01580654,0.038705684,0.055013824,0.046563726,0.021752238,0.041211233,-0.12426361,0.08619322,-0.002502907,0.04980869,0.034799203,-0.007933876,-0.006085896,-0.008061658,0.02182177,-0.03398318,0.01660197,0.017042303,0.011908278,0.10012601,0.06343348
4,0.04584931,0.0479063,0.09560111,0.06651917,0.08386846,0.049802892,-0.15077457,0.086159304,-0.015600239,0.13225818,0.010476398,0.048969716,0.13518007,0.19163056,0.04618925,-0.05499578,0.122301765,-0.027461866,-0.08007153,-0.034676578,0.023264937
5,0.123250976,-0.03806343,-0.07092842,0.051493824,-0.046608686,0.14433202,-0.12595867,0.17514488,-0.0058390056,0.03486185,-0.11523398,-0.12804665,-0.035348132,0.050059836,0.06732132,-0.100172505,-0.023335015,0.004116433,-0.011585146,0.022065548,0.09592704
6,0.33666128,-0.018224195,0.11108682,0.08210331,-0.12648411,-0.014001874,0.02429713,0.0029130366,0.002343736,0.01942202,-0.09911151,-0.03447637,0.043374542,0.07758059,0.19651777,-0.048108406,0.070384294,0.16412684,-0.020343322,-0.14310873,-0.014327101
7,0.24050206,0.019294083,0.0057319105,0.020778392,-0.21202186,-0.12988496,0.21742953,-0.050905246,0.03825797,-0.18617463,-0.29032296,-0.22417799,0.10182027,-0.26876616,0.25608087,-0.07852312,0.15311697,0.11274506,0.17887439,0.021929402,0.05061347
8,0.1215467,0.15581918,0.11091507,0.026159517,-0.21870428,-0.063310325,-0.1265225,0.27629524,-0.048873033,-0.15905333,-0.07729883,-0.028956756,-0.021353435,-0.33242607,0.094602674,-0.35061342,0.29121348,0.10050825,0.20060448,-0.07110609,-0.032767188
9,-0.10196016,0.264548,-0.039238356,0.04597798,-0.00993824,-0.029689588,-0.63555014,0.49390233,-0.076419756,-0.06613013,0.09253898,0.11073392,-0.04925777,-0.20874713,0.23925246,-0.27149078,-0.1160953,0.0818045,0.08439824,-0.27711266,0.07878098
10,-0.12381633,0.28830093,-0.0025199614,0.18568769,0.20574924,0.0010545552,-0.37081274,0.057864785,-0.048903167,0.049240597,0.27159005,0.12530261,-0.074710876,0.042763755,0.42921412,-0.1435465,-0.16205598,0.16124858,-0.13181303,-0.36904183,0.09579086
11,-0.056623798,0.2251142,-0.02119533,0.043459173,0.22225933,0.09500468,0.089322,-0.32525736,-0.102844924,0.20592664,0.13511305,-0.09397507,-0.18744065,0.016655052,0.07175389,0.15246943,0.13821091,0.041470557,-0.07102735,-0.030648116,0.16409065
12,-0.048104566,0.14090286,0.12705477,-0.14536013,0.1905808,0.21549368,0.1326122,-0.2055188,0.016470611,0.0334364,0.03243621,0.044579014,-0.05796459,-0.09612224,-0.28378764,0.31000182,0.21808231,-0.15446872,-0.0920623,0.14325438,-0.060459472
13,0.053236693,0.04794993,-0.08568871,-0.13674366,0.1293433,0.22605053,-0.014574805,0.022556843,0.09463891,0.0417445,0.0806661,0.26168063,0.1377737,-0.052602217,-0.38917428,0.27056643,-0.15582336,-0.17321137,0.13799955,0.1616181,-0.108506
14,0.023380471,0.023215193,-0.086086504,0.010227319,0.06253827,-0.22586264,0.1819801,-0.06725012,0.24693476,-0.007675667,0.03600149,0.22397761,0.31695145,0.02911996,-0.14367068,-0.01741169,-0.24482347,0.15219012,-0.011513454,0.24897172,0.029272992
15,0.14810954,0.013967559,-0.06836724,-0.08285588,0.02573593,-0.07012685,-0.029765928,-0.043181296,0.080336675,-0.08259652,-0.0710985,0.023944303,0.14677317,-0.10426503,-0.012332685,-0.09816581,0.15711744,0.04886231,0.06768921,0.34461564,0.18388586
16,-0.018418273,0.050519902,0.056521717,0.009123002,-0.09160324,0.06373214,-0.27237865,0.22127676,-0.027588662,-0.13574335,-0.028222166,0.049653642,0.049245108,-0.14435917,0.044905473,-0.14908858,0.06488192,0.030987358,-0.03799426,0.1785217,0.19116467
17,-0.07830461,0.111908816,-0.046707124,0.11095053,0.052076958,0.17118303,-0.34571642,0.20610578,-0.14883532,0.0066462927,0.08896739,0.052800033,-0.04050608,0.014343062,0.1263814,-0.13785228,-0.18951818,-0.009151468,-0.03385046,-0.09338612,0.11919785
18,0.0064035356,0.111928575,-0.0016203903,0.136509,0.08529059,0.021683482,0.038105324,-0.054835126,-0.06193312,0.099258475,0.12503296,-0.014541127,-0.06919965,0.095099546,0.20693158,0.05576164,-0.07820092,0.13002306,-0.12905297,-0.15626186,0.09411833
19,0.15996155,0.0879349,0.018146696,-0.06814611,0.06599973,0.07935989,0.3028789,-0.24819236,-0.052213594,0.0027724802,-0.05155659,0.02856788,-0.045614596,-0.07368645,-0.086448036,0.13879743,0.2529358,-0.042184092,0.012633143,0.083447084,0.06185447
20,-0.07102199,0.077340916,0.05315969,-0.19540395,-0.056368932,0.07158282,0.06497085,0.039544843,0.045860425,-0.09135679,0.02206567,0.06779268,0.090587586,-0.23410864,-0.20157312,0.1418435,0.14415552,0.016582094,0.08391378,0.1358896,-0.017348528
21,-0.080060124,0.2065562,-0.027938902,-0.0689583,0.16480157,0.08218375,-0.29716408,0.21318391,0.037416294,-0.054694206,0.15175179,0.26548985,0.008346999,-0.02946296,-0.11186248,-0.06152618,-0.17253543,-0.16103888,-0.025283365,0.12184047,-0.0137197105
22,-0.07793076,0.09024319,-0.11276833,0.21353155,0.1231446,-0.038738787,-0.1834264,0.006069824,0.027733676,0.12383482,0.21716814,0.18753849,0.10144205,0.07744599,-0.0103735095,0.14461942,-0.29523894,0.13663746,-0.07090232,-0.04017169,0.11744271
