,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t)
0,0.0014544728,-0.0046852226,0.04779724,0.018470757,0.024971798,0.02395998,0.014882789,0.0035547637,0.03165737,0.013301206,0.017922886,0.006180974,0.06648156,0.07006085,0.004115573,-0.00899959,0.0037841327,-0.014988725,0.091741174,0.013648259,-0.0045716367,0.023958806,0.0008638194,-0.00014868611,0.21389882,0.020796949
1,0.1271897,-0.03538731,-0.016617391,-0.12825152,0.15190046,0.007893508,0.019168142,0.121461935,-0.027308457,0.056716178,0.069218054,0.005461666,0.019056164,0.027234096,-0.053832132,0.0988522,0.02886963,0.017990142,0.040688343,-0.034079444,0.0073318593,-0.0033707023,0.1462881,0.01084555,0.05272715,0.021239037
2,-0.0014920738,0.061129868,0.06234546,-0.12400472,-0.00033739023,0.19886693,0.002568135,0.034399934,0.13837186,0.008590669,-0.08422375,0.05737796,0.05982719,0.089320846,0.06187432,0.09312294,-0.0043703783,-0.013398051,0.10485271,-0.05821433,0.04685184,-0.050876718,0.021768508,-0.0011508296,0.039086472,0.05548847
3,-0.0029345255,-0.026826601,0.043625265,-0.011175064,0.034837443,0.061188586,-0.026069965,0.12374525,-0.016929144,-0.029827919,0.108478814,0.068455815,-0.050179742,0.083505504,0.13584259,-0.2783731,-0.075597785,-0.074769065,0.058975678,-0.025004122,0.023341307,-0.01995968,0.07729336,0.0086879,0.101656124,0.060171593
4,0.0086701345,-0.15188222,-0.15644632,-0.14122692,0.05237876,0.045107454,-0.049442083,0.11344599,-0.14722355,-0.006821097,0.0117192855,0.102407955,-0.013428453,0.043074246,0.0099952,-0.022013092,-0.0120071545,0.047206476,0.08707639,-0.14984265,-0.08449821,0.011912085,0.11941959,0.056625716,0.10644036,-0.09941874
5,-0.019868698,0.056624554,0.07716657,-0.2587723,-0.072920114,0.11124231,-0.15496773,0.14319286,-0.12721254,0.0782765,-0.18359682,0.053172767,-0.040868904,0.06007675,-0.0575457,0.1814822,0.12787823,-0.076563776,0.16810529,-0.08348199,0.02502461,0.044520482,0.09445517,0.044743314,0.08611327,0.1898791
6,-0.0790851,0.06539865,0.063727394,0.037945885,0.08147451,0.18673536,-0.13884728,0.18735479,0.16000561,-0.033422586,-0.10326272,-0.017252503,0.010340668,0.16087751,0.122718595,-0.08553884,-0.07184608,-0.025049333,0.101820216,-0.05101807,0.06915314,0.08997497,-0.04769531,0.031115826,0.095890924,0.096101336
7,-0.050724544,-0.15107372,-0.05349533,-0.10569457,0.15939876,0.018559368,-0.044500403,0.07716842,-0.13696516,0.0052871257,0.17104332,0.08426886,0.016847707,0.10457501,0.2095528,-0.22937496,-0.024507098,-0.010906281,0.047683567,-0.04114316,-0.060510553,0.08212251,0.048057236,0.04483234,0.19786248,-0.029436909
8,-0.02489346,-0.07478277,-0.11897224,-0.36401236,-0.075528264,-0.036895044,-0.09559231,0.1126699,-0.3240411,0.03170178,-0.13925448,0.08951669,-0.014803724,0.065118745,-0.0971089,0.17091548,0.0720251,0.094400756,0.14163178,-0.07244773,0.024349526,0.03141703,0.09564398,0.06911985,0.13748764,0.030203767
9,-0.022035051,0.11117688,0.062176555,-0.16854209,-0.0063264444,0.19417205,-0.16047597,0.11523909,0.034118064,0.06121787,-0.35801607,0.0011225771,-0.04046748,0.047209203,-0.080613,0.26039785,0.118269034,0.08465774,0.20434357,0.052490786,0.13894618,0.053008452,-0.011890099,0.00096030673,0.10265482,0.13010068
10,-0.09726047,0.13419941,0.06550134,-0.030716686,0.06025191,0.12258993,-0.109877944,0.13788557,0.10410591,-0.030970508,-0.0059058033,0.02513271,0.016101174,0.020895276,0.3551451,-0.17829454,-0.049094696,-0.06795792,0.20286003,-0.0005617067,0.006728941,0.031062335,-0.05221776,0.101250574,0.079559445,-0.009115669
11,-0.013039939,-0.08142508,-0.046071872,-0.09085547,0.08946199,-0.123165295,-0.036297686,0.13872115,-0.19232266,-0.032208253,0.17815453,0.06920553,-0.03642652,0.0062868157,0.11827958,-0.08414542,0.052559152,-0.062369917,0.012977093,-0.09935466,0.00091160834,0.13907608,0.0841854,0.0758803,0.08814858,0.21582556
12,0.01623125,0.0027316525,-0.13466668,-0.22469197,-0.036639076,0.039685834,-0.10237906,0.16577655,-0.035748158,0.064448416,-0.11086566,0.06587158,0.0296337,-0.011638947,-0.13876161,0.29034427,-0.027874306,0.20405656,0.06356271,0.040967345,-0.14269981,-0.017270388,-0.05669412,0.012832718,0.028911598,-0.005505612
13,-0.08213512,0.15162924,0.16785361,-0.029403515,0.016767824,0.17349617,-0.10468436,-0.008108774,0.10782325,0.07068661,-0.10719541,0.0008308999,0.041010424,0.12792417,0.026944833,0.032921962,0.17448214,-0.057268746,0.08494949,0.0320412,0.10594815,0.06271417,0.029229276,-0.020159226,0.066463,0.15559466
14,-0.08614547,-0.08328693,-0.062077604,0.044617284,0.0853156,0.04574039,-0.07019541,0.0717715,0.0070927553,0.037870802,0.1355723,0.07615471,0.054565907,-0.047342833,0.31943622,-0.1840433,-0.12370116,-0.098175734,0.01748683,-0.002569032,-0.05105789,0.07850854,-0.026236346,0.07188587,0.12901509,-0.053461462
15,-0.05031972,-0.0011244696,-0.059393045,-0.22090851,0.12532863,-0.03402178,-0.08213181,0.20537531,-0.22096014,0.09714119,0.11475062,0.052607276,-0.03762087,0.009185227,-0.032128517,0.003059674,0.05956949,0.0927061,-0.0010217112,0.000632104,-0.07278384,0.10713534,0.012774901,0.06779802,0.109676614,0.04682747
16,-0.0512391,0.010404751,-0.014288518,-0.14179045,0.0009726557,0.27257043,-0.043131933,0.051212966,8.598788e-05,0.032949816,-0.20276153,0.06400831,0.018525243,0.02398888,-0.007267451,0.20110467,0.12370476,0.0066716224,0.111170754,-0.030485865,0.05749482,0.07118431,-0.049694724,0.05502215,0.10651299,0.10713446
17,-0.03487447,0.086736135,0.07750183,-0.088171475,0.090222016,0.02261883,-0.07723314,0.1274299,-0.0050718943,0.007250607,-0.02613632,0.071747504,-0.019841354,-0.033735003,0.20765594,-0.20763625,-0.115455434,-0.011733919,0.1503074,0.0759356,-0.010377079,0.018604724,-0.07308225,0.038773052,0.04446198,0.07073705
18,-0.041736636,-0.07664124,-0.15321137,-0.112115726,0.055106957,-0.027543839,-0.02260866,0.09802666,-0.109707326,-0.034024484,0.10972236,0.062752955,0.04000664,0.052636176,0.1477193,-0.0658096,0.008849461,0.10941279,0.067720056,-0.13242987,0.00093743205,0.05627413,0.10905315,0.016924303,0.10814575,0.0880152
19,0.050512258,0.05183038,-0.09182131,-0.2796684,-0.033049457,0.019167628,-0.09281907,0.0466452,-0.16166645,0.07661214,-0.14934592,0.111760065,-0.018403808,0.07659984,-0.13580054,0.20460896,0.15580288,0.064459525,0.0721684,-0.044887733,-0.06098897,-0.017655032,0.00072375644,0.04968033,0.07681383,0.081620924
20,-0.07365057,0.061710916,0.030486958,-0.05486605,0.033611197,0.13862507,-0.15644607,0.12687382,0.09005129,0.1260007,-0.09735936,-0.0053841807,-0.039340056,-0.005247769,0.044903103,0.03472542,0.0698802,-0.030686472,0.0959602,0.0060169687,0.06385893,0.093556896,-0.010678021,0.08911071,0.14603621,0.06300333
21,-0.09401481,-0.010707253,0.033871427,-0.06494153,0.044589832,0.15731256,-0.13249636,0.1079475,0.07718781,0.028764017,0.07771235,0.06122539,0.044057425,-0.038200706,0.1536873,-0.14528987,0.02451998,-0.099145345,-0.004646601,0.005988911,-0.030185416,0.09384374,-0.009221189,0.08462616,0.08236901,-0.010016203
22,-0.06458582,-0.046171166,-0.05213605,-0.07390143,0.005533288,0.0013203453,-0.117678486,0.20071438,-0.07347126,0.06016445,0.06552154,0.16822001,0.040983617,-0.047642265,0.1676057,-0.18073454,0.021265822,-0.08770136,0.035144,-0.000558408,-0.063132145,0.19196679,0.013870809,0.10943225,0.04205429,0.16927774
23,0.008263253,-0.034477152,-0.18482916,-0.19257611,-0.0046599023,0.07290767,-0.1470429,0.30625677,0.06626786,0.08746742,0.08227924,0.01863425,0.007245511,-0.020678516,-0.042532638,0.04392651,0.12073847,0.11761402,0.016125098,0.0022479407,-0.19723313,0.08028913,-0.04909549,0.049560696,0.11239259,-0.0047775544
24,-0.09855444,0.06838275,0.061572734,-0.12308899,-0.017036965,0.2271818,-0.14033845,0.08348143,0.0952401,0.09333346,-0.092582464,0.012694921,0.055679474,0.057497207,-0.056032546,0.09012014,0.17307293,-0.11300707,0.007386337,-0.027452238,-0.018154126,0.16714698,-0.028412668,0.1344965,0.038217336,0.10817864
