,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t),x35(t),x36(t),x37(t)
0,0.0077045234,0.02380314,0.022092422,0.01068918,0.042123232,0.011195891,0.07034398,0.00589821,0.0061029773,0.035314515,0.0020090668,0.051363435,0.053654354,-0.0043037785,0.022189101,0.07155245,0.044151388,0.0048056985,0.010412343,-0.00066100294,0.01501217,0.014336528,0.098786905,0.033718362,0.07883444,0.020176984,0.007998183,0.015147887,-0.019184303,-0.0044787135,0.0037486982,-0.0049988893,0.0027732125,-0.0014142469,0.028150544,0.03325207,2.8651948e-05,0.12171821
1,0.04556291,0.017784428,0.028851844,-0.03044029,0.050786678,-0.0021221696,0.16756257,-0.01333167,0.0051106843,0.07124296,0.14260554,-0.03220659,0.06546752,-0.015390612,0.006870387,0.010708409,0.06111891,0.04776108,0.024285065,-0.00015481503,0.0757755,0.031666167,-0.060154058,-0.012624921,0.019217124,0.0066406117,0.035828695,0.10322845,-0.024816282,-0.017736495,0.008378413,0.0052755894,0.0056585437,0.039802387,0.08255912,0.02263171,0.0031615624,0.014448257
2,0.015895035,0.02807474,0.04080582,-0.051125854,0.018482406,-0.025570484,-0.016140647,-0.033608504,0.034685522,0.025811631,0.04095544,-0.08138843,0.048776623,0.004216614,0.058845274,0.11591645,0.13044597,-0.033599153,0.014557177,0.010106332,0.06858446,0.03520867,0.02679157,-0.0246418,-0.009998931,-0.0327039,0.017587485,0.042687763,-0.06857005,-0.057207838,-0.00822979,-0.028294392,-0.013378603,0.23217592,0.052055463,0.059856035,0.099272735,0.0421486
3,0.03813345,0.024152404,0.012820563,-0.04591963,0.016006975,0.025483781,-0.01448239,-0.15187362,-0.035158493,0.008280146,0.04104766,-0.007595567,-0.02065632,0.02306966,0.0018508155,0.0200863,0.12322576,0.0028085476,0.081707515,0.054124914,0.03452047,0.028417237,-0.035068262,0.046411563,-0.11722055,-0.05314336,0.0053867344,0.0494896,-0.051100142,-0.00925714,0.11721636,0.08945203,-0.1061659,0.09101549,0.023781428,-0.05014273,-0.005916463,0.07535159
4,0.020410892,0.009496411,0.02930511,-0.05597582,0.08299139,0.044774037,0.0621983,-0.05515121,0.10586946,0.052992288,-0.016904049,-0.054315574,-0.047865763,0.067448944,-0.031503625,-0.049272723,0.09591592,-0.006485936,0.14354771,-0.05033859,0.028644642,-0.02084067,0.038564004,0.06501056,-0.12679581,-0.10173884,0.04588065,0.066587016,0.007646311,0.007918808,-0.052018754,-0.016855732,-0.062415715,0.09272463,-0.023780357,0.06517567,0.08198778,0.07519908
5,0.02888817,-0.033563465,0.017779162,0.07244187,0.03726386,0.038717616,0.028741457,0.0045559052,-0.007546477,0.053631887,0.04291235,-0.046085328,-0.075812474,0.02005454,-0.03126411,-0.03796888,0.055065237,-0.015201721,0.03262274,0.052345842,0.1347757,-0.17566156,-0.08841611,-0.09152875,-0.057187047,-0.06060938,0.08756244,0.0922876,-0.07404983,-0.00839819,-0.021004792,-0.018680487,-0.037109166,-0.008309493,0.03814125,0.059569117,-0.06319647,0.046522114
6,0.008890729,-0.021037497,0.0033377616,0.028554056,0.18814576,0.10525144,0.08750231,0.18095472,0.012836508,0.080197364,0.02143209,-0.0061175753,-0.06488266,0.111246996,-0.06800244,0.038304947,0.059315316,0.011372376,0.15412799,0.010598546,0.037627246,-0.032180164,0.007709481,-0.04666352,-0.006352631,-0.07759815,0.02895318,0.10125242,0.012196925,0.13107851,0.04998926,-0.024097513,0.107073456,-0.018721817,0.096356675,0.13244365,-0.04218702,-0.024895452
7,0.018258942,0.15589662,0.09027108,0.18745908,0.026887763,0.16062841,-0.01799772,0.09656335,0.010026548,0.041357297,0.08832189,0.047810707,0.017386321,0.025828743,0.044919003,-0.09337242,0.028227583,-0.017833155,0.054114733,-0.012338969,0.019629367,-0.11974277,0.015680887,-0.004631534,0.17217812,-0.054853957,0.013644302,0.0030494712,-0.11900836,-0.02847961,0.14078839,-0.016225258,-0.0062755737,-0.047643684,0.03907712,0.13894579,-0.021217927,0.039359637
8,0.046339113,0.16638206,0.005353342,0.23713556,0.023730006,0.12389696,0.22248429,0.09811564,0.08272877,0.033721782,0.007915594,0.05735268,-0.04592604,-0.06099247,-0.023753945,-0.06253792,-0.02282547,0.030746767,0.042965792,-0.06709497,-0.0013502913,-0.08144834,-0.06750958,-0.16568556,0.109503835,0.012454033,-0.018794144,0.074374914,0.015714424,0.040588174,-0.012163014,0.002390956,0.107390106,0.12218294,0.059363615,0.09524005,0.011010927,-0.039723016
9,0.0045913183,0.040591624,0.014763805,0.2335788,-0.02326414,0.017131215,0.044249255,0.051570203,0.10515201,0.028657071,0.03390342,-0.05079387,0.06473186,-0.06697752,0.19819148,-0.07040758,-0.009253228,-0.061277103,0.058765788,0.029396372,0.043979287,-0.095854096,0.073063746,-0.035358183,0.03469167,-0.07296901,-0.010068732,-0.031769354,-0.058360517,0.03496442,0.2435433,-0.02875675,-0.00736723,0.115664676,0.13266382,0.06400212,0.014600333,-0.017361356
