,x0(t),x1(t)
0,0.0010413637,0.061469067
1,0.019809663,0.034514323
2,0.021434017,0.02007996
3,0.04456222,0.011930764
4,0.008519276,0.033411108
5,0.0097822985,0.04319166
6,0.00077308586,0.0049530305
7,0.111594945,0.0019877164
8,0.0031658171,0.08335241
9,0.024391245,0.00273239
10,0.09984099,0.018936858
11,0.022944415,0.050000627
12,0.09177859,0.017282521
13,0.02218652,0.09020189
14,0.030103402,0.019289933
15,0.04172593,0.017423484
16,0.0518577,0.021217972
17,0.016288485,0.042235553
18,1.29238515e-05,0.014979014
19,0.0071254754,0.07086927
20,0.06848652,0.009286682
21,0.017543783,0.03977315
22,0.023257006,0.010911431
23,0.033818882,0.016076028
24,0.0031020094,0.030649625
25,0.112023875,0.0023701272
26,0.022988725,0.11342263
27,0.0041777855,0.0753955
28,0.0022454693,0.03531224
29,0.048409715,0.013095186
30,2.0143196e-05,0.025361657
31,0.002203132,0.0066463165
32,0.00016998181,0.01587081
33,0.011649221,0.00015174727
34,0.011532554,0.048327502
35,0.014658836,0.018450528
36,0.046152275,0.05547162
37,0.009108386,0.042743184
38,0.013336417,0.027837763
39,9.9430996e-05,0.043544337
40,0.033712946,0.010046734
41,0.009469104,0.036892027
42,0.042659674,0.019039983
43,0.015225279,0.04111904
44,0.07885639,0.011513526
45,0.015142258,0.0505101
46,0.15973979,0.036876246
47,0.046656657,0.08344588
48,0.028804064,0.09725274
49,0.0037910815,0.014727244
50,0.08285623,0.020083804
51,0.0033588146,0.042104285
52,0.019364944,0.03740859
53,0.0012199521,0.13354504
54,0.057441376,0.0011964035
55,0.021700328,0.028784994
56,0.02076331,0.070011705
57,0.008302612,0.03291314
58,0.101297066,0.004224848
59,0.07574278,0.061674006
60,0.025603559,0.123287044
61,0.013184137,0.060568616
62,0.004171277,0.0073990785
63,0.0012907097,0.013567801
64,0.06885736,0.011123922
65,0.0010163101,0.08568737
66,0.2192971,0.023699328
67,0.020275977,0.11410552
68,0.0022093612,0.07544853
69,0.052528933,0.0013209124
70,0.06894415,0.04381281
71,6.779755e-05,0.09776078
72,0.00022196304,0.012064189
73,0.024710923,0.0028795535
74,0.007689178,0.016667776
75,0.012614863,0.004463216
76,0.030983804,0.025181174
77,0.03349287,0.015494924
78,0.00062045926,0.023942733
79,0.003802527,0.00031370862
80,0.0336769,0.0039645378
81,0.0339924,0.02216962
82,0.017996836,0.036070853
83,0.004582738,0.06939444
84,0.00070262654,0.04047341
85,0.014380115,0.0010474822
86,0.00035296645,0.016608253
87,0.0013194192,0.0029434853
88,0.062346995,0.061071586
89,0.12471163,0.03677985
90,0.0014077928,0.076090366
91,0.0017452177,0.08464441
92,0.020548662,0.0024755115
