,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.15781696,-0.014990481,0.014465089,0.039496314,-0.0073817135,0.025139071,0.06758224,0.020892512,-0.0021515742,0.015337045,0.07342817,0.0055824597,0.122839004,0.19068576,-0.004873041,0.037015665,0.0075340793,0.01568943,0.05787914,0.042891853,0.015941918,0.014137954,0.020873869,0.023883741,0.011070473,0.22458638,0.008790627,-0.0064666625,-0.0015657577,0.044437096,0.009038018,0.0023427322,0.16281696,9.518949e-06,0.014465089,0.034496315,0.000118286414,0.03263907,0.07508224,0.0033925113,0.00034842576,0.00033704608,0.06592817,0.00058245985,0.135339,0.19818576,0.00012695891,0.032015666,3.407964e-05,0.0031894315,0.06287914,0.05539185,0.020941919,0.009137955,0.0133738695,0.038883742,0.0010704736,0.19458638,0.021290626,0.0010333372,0.00093424227,0.029437095,0.014038018,0.0023427322
2,0.013010988,-0.051699504,0.031861518,0.112312585,0.01388745,-0.009760562,-0.010686483,0.04137022,0.042646255,0.31008536,0.004459344,0.0035495278,0.00852601,0.05272683,-0.0076746074,0.055339903,-0.087206416,0.04078374,-0.008745038,-0.14856946,-0.028981099,0.044019803,0.110024974,-0.050476234,-0.0023258599,0.13562185,-0.06307959,-0.007904548,-0.146845,0.012677575,0.044834256,-0.033879627,0.011935201,0.019650547,0.025543403,1.9394392e-05,0.072825275,0.03580254,0.00583034,0.00050864555,0.0036083164,0.10461542,5.765925e-05,0.00788571,0.015676916,0.061627146,0.0002963516,0.02154878,0.0046479004,0.01093191,0.0012489042,0.009415985,0.0046287416,0.0314999,0.080969535,0.019111205,0.0071434965,0.029402398,0.013173295,0.025158618,0.0021321916,0.001250933,0.018522158,0.00035048075
3,-0.017313765,0.09744884,0.07812272,0.0733275,-0.034296937,0.05568426,0.03314454,0.032793306,0.049745988,0.06417607,0.18248187,0.013637703,0.018593775,-0.00954019,0.019134212,-0.0023980439,0.11950379,-0.008637319,-0.12314967,0.022434535,0.028125606,0.13502996,-0.015175035,0.04593858,0.06361187,-0.02897767,0.052314173,0.079746984,-0.081829205,-0.06541944,0.09364989,-0.07289748,0.004009363,0.069009125,0.005863156,0.0055165743,0.0013832885,0.0022371854,0.042882904,0.0150183,0.00133418,0.0041582948,0.0065428396,0.003357671,6.0016988e-05,0.002301176,0.0046436624,0.0029451977,0.09734203,0.0014021574,0.04029385,0.028865427,0.0068733306,0.03352258,0.01035017,0.05602683,0.007309035,4.8655183e-05,4.02055e-06,0.031189246,0.0049960082,0.0013398862,0.0044374107,0.011973327
4,0.06741123,-0.066756,0.20727171,0.040579356,0.064908385,0.028971676,0.054406658,0.14009088,-0.0041648373,0.14412087,0.032947958,0.11104749,-0.036960162,-0.039670244,0.01714959,0.016976811,0.03994471,0.07103065,0.019198135,-0.06775706,0.041191243,0.087279916,0.009044468,-0.022908118,0.05442351,0.03316411,-0.025856035,0.10186966,0.1205391,0.012136156,0.050586537,0.0067094713,0.092284225,0.00050390343,0.13455117,0.05506819,0.064482816,0.01034861,0.021156034,0.035026204,0.04935743,0.18685235,0.009720345,0.025962798,0.025775475,0.00461184,0.031212393,0.00040454103,0.04478685,0.0011491769,0.000602756,0.0012772355,0.027905062,0.023657665,0.040420104,0.014726917,0.009352488,0.007199859,0.020471187,0.087206505,0.0021455586,0.0051844013,0.061221283,0.029608836
5,0.010427278,0.017912593,-0.025545819,0.022844901,-0.0630243,0.049686342,-0.03556068,0.0564538,-0.03023035,-0.00087740994,0.10424271,-0.046767276,0.04547288,-0.13305208,-0.012933422,0.07279159,0.16280389,0.07541764,-0.04409079,0.02065261,0.06749816,0.06587915,0.009635321,0.050376896,0.093858644,0.05155843,-0.051116683,0.06394563,0.10890345,0.10641641,0.17265809,0.0119070485,0.008344859,0.013716249,0.0075119752,0.0062628468,0.00079047336,0.012259884,0.0017908765,0.04282142,0.084195085,0.001024686,0.004410187,0.0031396225,0.09047284,0.017471178,0.0076621994,0.045588266,0.012697036,0.009116919,0.00270946,0.00026757352,0.022547662,0.011676393,0.005894606,0.03582709,0.0013557536,0.000921864,0.025862625,0.0006419203,0.0041315956,0.008008851,0.044256177,0.055724926
6,0.054751724,-0.012194581,0.031393886,0.10157438,0.0154141635,-0.048830647,-0.03737671,0.15349366,-0.03237213,0.03954567,0.005261028,0.008235391,0.014141401,-0.10009016,0.050604746,-0.017522594,0.08905179,0.027751818,0.028346797,-0.011777309,0.052732583,0.03465516,0.07301497,-0.06413757,-0.015424203,0.043975145,-0.108118884,0.034073617,0.2634346,0.09953701,-0.051944956,0.048663802,0.03963655,0.031912837,0.03891629,0.075795166,0.004920133,0.013612988,0.0036775628,0.017548742,0.004600432,0.008765322,0.0026729035,0.0030402972,0.02379789,0.005465085,0.08435383,0.00025774483,0.022784175,0.0022916528,0.012497777,0.005403786,0.10811313,0.017921345,0.020398187,0.00032355872,0.0017535386,0.008835041,0.0005269789,0.02460641,0.103133276,0.00040021818,0.01569105,0.01160462
7,0.019468201,0.06592378,-0.116925225,0.03103977,0.004340384,0.016062599,-0.0785689,0.030836552,-0.10057744,-0.009838646,0.25034824,-0.07296219,-0.04621404,0.018327612,-0.026047435,-0.009719368,0.17499155,-0.006364461,0.037547335,0.054722793,0.020689141,0.035399333,0.07445848,-0.02925279,0.013713652,-0.0775408,0.02411946,0.11993551,0.055304237,0.14773291,0.0853404,0.05802258,0.003282137,0.011222938,0.02250417,0.009052198,0.019451866,0.026547043,0.0019669086,0.11634794,0.0016340371,0.018129105,0.19495186,0.0028497956,0.0125465775,0.032744348,0.0003188562,0.008968987,0.0048690354,0.01507345,0.012492653,0.016480824,0.00039835583,0.016703738,2.1623623e-06,0.014726483,0.005758474,0.007769582,0.023265429,0.029553566,0.016593507,0.00379708,0.017141795,0.004496394
8,0.12979664,0.01831096,-0.020112047,0.0056183785,0.056869373,-0.01863534,-0.03680412,0.08606659,0.03938732,-0.036734365,0.016481616,0.051712938,0.0042079147,-0.097862646,0.07166134,-0.023675404,0.044593696,0.041168004,0.05634158,-0.052910596,0.055350117,-0.012095083,0.1182856,-0.019445268,0.10395057,0.047507647,0.008598553,-0.04689009,0.1600117,0.035377655,-0.05153685,0.17358077,0.079507925,0.014120498,0.0006832468,0.04438878,0.0010030793,0.07047187,0.01874211,0.0016606633,0.02099918,0.022691704,0.022190714,0.029148694,0.0014310757,0.0021019976,0.08200591,0.015609045,0.03695881,0.0067083123,0.0034932806,9.201877e-06,0.07134704,0.00264879,0.023760019,0.018157126,0.060308464,0.019064011,0.018295975,0.003975597,0.010985848,0.014291875,0.010340855,0.031835742
9,-0.010461928,-0.006035581,-0.025109565,0.052693054,0.054290567,0.035640087,-0.025463568,-0.016821252,0.07142922,0.003504131,0.07402025,0.05049742,-0.07617189,0.049609877,-0.025199872,-0.004379006,0.17565559,0.012457679,-0.024897877,0.06591612,0.02550515,-0.0018904603,0.0578913,-0.051495686,-0.018480763,0.03642302,-0.0373737,0.046113763,0.10110045,0.15469679,0.0058833137,0.018454961,0.009231731,0.052342936,0.0029209987,0.028939232,0.09202395,0.0008897732,0.018375168,0.018748028,0.08919177,0.0044327825,0.059318785,0.05535722,0.0022900857,0.0019814754,0.0024751874,0.014023054,0.02218763,0.0076227626,0.009686557,0.027936734,0.027023911,0.0016181495,0.0012440784,0.010212957,0.0065876176,0.034075674,0.002399232,0.015867542,0.027072236,0.054368693,8.650213e-05,0.008468219
