,x0(t),x1(t),x2(t)
0,0.0057576736,0.017106134,0.0047870744
1,0.027602239,0.018823866,0.014929895
2,0.017949043,0.02661876,0.012405352
3,0.010366274,0.0212426,0.019883744
4,0.007165959,0.014774937,0.042381693
5,0.005491686,0.012244686,0.008241259
6,0.018727683,0.067534275,0.024399206
7,0.01575536,0.038491685,0.019638954
8,0.008946527,0.026962718,0.081133075
9,0.0045361007,0.03347525,0.0069324425
10,0.02248626,0.024498729,0.1959936
11,0.09027361,0.02033019,0.006148425
12,0.07836592,0.07473227,0.014321778
13,0.047296025,0.10644819,0.04531232
14,0.02420649,0.074680366,0.032903317
15,0.02649957,0.04697591,0.022832787
16,0.022354912,0.03872337,0.022777628
17,0.022375008,0.038673677,0.010514853
18,0.0120433,0.027772356,0.009703676
19,0.063719265,0.022480598,0.06331689
20,0.09098095,0.037752394,0.013679458
21,0.08800423,0.06707565,0.009752329
22,0.044047806,0.0694305,0.024316626
23,0.032187596,0.049062885,0.029585822
24,0.023313774,0.03421306,0.015112596
25,0.012762912,0.040343184,0.061807975
26,0.07609588,0.03173245,0.04540723
27,0.15312707,0.046540234,0.023798786
28,0.08768575,0.06463136,0.011882351
29,0.05208823,0.3209737,0.017398717
30,0.11177909,0.18007429,0.083870836
31,0.058572136,0.118243754,0.045298614
32,0.051753893,0.07911824,0.033149727
33,0.037363905,0.059805833,0.0943791
34,0.01868619,0.0591814,0.018055957
35,0.009499975,0.053897224,0.026341796
36,0.07338545,0.02932696,0.057762913
37,0.054050557,0.11068054,0.007591699
38,0.027032105,0.06962358,0.02767031
39,0.041118905,0.05061516,0.025223287
40,0.058936547,0.03656431,0.049346928
41,0.030233221,0.033145763,0.03655753
42,0.019870918,0.10667495,0.021734588
43,0.04771471,0.08027406,0.07649719
44,0.063332185,0.06623235,0.020077467
45,0.04048448,0.08529413,0.022443686
46,0.08945498,0.052806586,0.07801614
47,0.044751357,0.05724167,0.023986787
48,0.022864733,0.04527772,0.038944505
49,0.011803302,0.0353815,0.022717169
50,0.0524796,0.1091937,0.029130276
51,0.09976408,0.0859358,0.027479257
52,0.053094365,0.07189269,0.090577655
53,0.026559927,0.14315955,0.053926133
54,0.013525557,0.08210982,0.0359102
55,0.01439938,0.050987393,0.056990914
56,0.023881724,0.13901007,0.08620447
57,0.020991512,0.087922074,0.04024773
58,0.015438845,0.049253553,0.061529636
59,0.011725315,0.031423964,0.012324732
60,0.0064526037,0.019574769,0.008973301
61,0.0036684105,0.025769517,0.028714515
62,0.0019080278,0.028944625,0.02062454
63,0.031277787,0.05362319,0.0122934235
64,0.023243176,0.0639436,0.016974734
65,0.020013701,0.052298605,0.023909558
66,0.014362519,0.04800528,0.028074386
67,0.011180024,0.053400733,0.09366222
68,0.006596717,0.05826585,0.05993142
69,0.031291727,0.034533575,0.03264846
70,0.024562592,0.026939612,0.072923526
71,0.026148604,0.07498381,0.023925874
72,0.029562537,0.1527503,0.026741344
73,0.01813629,0.1264429,0.048232198
74,0.03433103,0.068872616,0.031661384
75,0.061356533,0.098556004,0.017767757
76,0.044402245,0.06610001,0.026463458
77,0.048187967,0.04771608,0.017244034
78,0.054369252,0.03684222,0.087005295
79,0.03189685,0.13858292,0.028341234
80,0.018175352,0.07726719,0.035864864
81,0.035417765,0.05555593,0.02476332
82,0.07307814,0.046034202,0.017435327
83,0.06451823,0.05039285,0.025146399
84,0.037875753,0.12463209,0.04046502
85,0.03591382,0.07435735,0.038614843
86,0.022764986,0.1283716,0.025774114
87,0.021098144,0.15099129,0.05192922
88,0.019147806,0.080809966,0.03785405
89,0.07259415,0.050206672,0.06604013
90,0.03673585,0.04732005,0.017998295
91,0.027083557,0.09908116,0.031352878
92,0.06381415,0.09431431,0.08556673
93,0.05881337,0.06360826,0.07810345
94,0.031639695,0.049049385,0.01637513
95,0.052900054,0.052019045,0.022265535
96,0.040643405,0.050805524,0.029592961
97,0.10521474,0.03686103,0.021076206
98,0.05413513,0.06358327,0.010402134
99,0.027655793,0.045884047,0.031557024
100,0.030290976,0.050350253,0.025925279
101,0.016456224,0.04245295,0.01541162
102,0.008404503,0.062791325,0.026702646
103,0.107741304,0.033678867,0.016434936
104,0.0562539,0.053688537,0.057769917
105,0.03891487,0.0960256,0.026995856
106,0.03529241,0.23114814,0.025932001
107,0.0371478,0.12700568,0.057787836
108,0.032386746,0.1971685,0.033369575
109,0.026260331,0.14133236,0.10627448
110,0.039418966,0.08050272,0.035538893
111,0.055447333,0.060896993,0.023624409
112,0.054803684,0.07191709,0.038861167
113,0.032683633,0.05468962,0.047702145
114,0.025095452,0.039734453,0.015620803
115,0.029111998,0.027299184,0.010117394
116,0.03468877,0.03254482,0.007020762
117,0.027283128,0.026691526,0.008199701
118,0.052892163,0.15148446,0.10132073
119,0.028114226,0.16668119,0.048347957
120,0.02519172,0.110509604,0.09706893
