,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.010179705,0.008355884,0.09214947,0.026902923,0.024534123,0.043435298,0.021647159,0.060990278,0.034388024,0.12373546,0.00017970528,0.008355884,0.08214947,0.016902924,0.004534124,0.0234353,0.01164716,0.045990277,0.024388025,0.10373546
2,0.14817032,0.04834367,0.018452585,0.07529891,0.071632,0.12583023,0.08057533,0.08097505,0.062449384,0.084761344,0.040227868,0.04834367,0.0008231816,0.009253241,0.008941325,0.030020267,0.04923,0.017306738,0.004107592,0.010233634
3,0.06873215,0.018102268,0.086615294,0.08196994,0.14490144,0.14652573,0.25317335,0.21811122,0.052497648,0.11222763,0.017125184,0.018102268,0.024794001,0.015417433,0.00872972,0.0028719625,0.18508749,0.11596081,0.0074553574,0.0008923842
4,0.09943846,0.059099812,0.12415206,0.080780596,0.27161637,0.29099777,0.14735004,0.17000248,0.16919324,0.22459184,1.6993137e-05,0.059099812,0.074115954,0.015615642,0.00067413243,0.021591764,0.011878918,0.070186205,0.05343488,0.004661417
5,0.17897788,0.0036025757,0.089137584,0.14216165,0.33083647,0.38721076,0.15334019,0.20532742,0.2574221,0.20776296,0.0046059308,0.0036025757,0.019197378,0.00031582554,0.058013707,0.021364175,0.016928807,0.009417595,0.059537876,0.0020716963
6,0.17626885,0.004726744,0.0840681,0.11382711,0.31555423,0.4691503,0.15540603,0.25271925,0.2480283,0.2140966,0.02781857,0.004726744,0.011185982,0.00814434,0.0057080695,0.025595015,0.00048294466,8.596875e-05,0.038041264,0.019975595
7,0.17472228,0.0071558887,0.078449465,0.119065925,0.33421242,0.50984806,0.16523027,0.23614779,0.22451992,0.19174112,0.02563994,0.0071558887,0.019172536,0.009654257,0.003772255,0.031521704,1.0190059e-05,0.0005142709,0.024708765,0.012727125
8,0.15863013,0.10353678,0.07073353,0.10732112,0.3189074,0.527163,0.23676057,0.22719988,0.22215158,0.18499678,0.023534838,0.10353678,0.007622624,0.007872613,0.0023804544,0.038139172,0.0784971,0.0056827106,0.015820643,4.601026e-05
9,0.1318929,0.03912201,0.14932281,0.17149226,0.3986597,0.5451211,0.210088,0.24203573,0.20492996,0.27500972,0.0040277345,0.03912201,0.043893863,0.027225474,0.003835328,0.016716707,0.012675801,0.005165997,0.0101095,0.015833722
10,0.21442306,0.012969469,0.11702982,0.15829895,0.35228267,0.5574476,0.18852621,0.26688838,0.29107663,0.3046234,0.0022567983,0.012969469,0.011722683,0.0012330867,0.0041948403,0.0027167269,0.014482295,0.0001443247,0.017085373,0.019610852
11,0.27187425,0.05325071,0.10874285,0.15962648,0.39306873,0.58925694,0.26542485,0.38670617,0.23595746,0.25699225,0.061047636,0.05325071,0.023108637,0.00083005364,0.013338401,0.012216808,0.07555967,0.08262019,0.0013012153,0.018580008
12,0.30890846,0.08625928,0.114323445,0.24346751,0.48130926,0.5998836,0.24798068,0.3407175,0.2639162,0.2987838,0.1260409,0.08625928,0.007884842,0.08834604,0.010639681,0.00019256659,0.012645889,0.06536479,0.013010427,0.00526137
13,0.20691311,0.009291659,0.17123981,0.19428565,0.50582856,0.6225577,0.23481776,0.35216275,0.2980017,0.37138054,0.00035948516,0.009291659,0.006376417,0.0017641011,0.036391728,0.009505697,9.934857e-05,0.0022101123,0.0001853292,0.02536509
14,0.31210202,0.031028809,0.13901396,0.20218821,0.5326577,0.6637105,0.23959588,0.37288275,0.36738494,0.31381413,0.040791843,0.031028809,0.03722531,0.011852118,0.08552076,0.00040197547,0.016027408,0.03157104,0.028850768,0.008996697
15,0.22641516,0.07186174,0.1278966,0.21216974,0.5054531,0.74445075,0.25944635,0.37162763,0.3457869,0.32150936,1.1088933e-06,0.07186174,0.0112881,0.03974826,6.9390207e-06,0.03959812,0.0067232624,0.0006303206,0.009951096,0.015595941
16,0.36289448,0.010069545,0.14202034,0.20808196,0.52439296,0.79004693,0.26219735,0.37927732,0.3256161,0.3383221,0.13819148,0.010069545,4.6015443e-06,0.011396407,3.1659594e-05,0.051256683,1.6689572e-05,0.0019562198,0.00894123,0.0026348722
17,0.25579625,0.03785178,0.10965162,0.1755099,0.49601388,0.76283604,0.26211694,0.3644947,0.33807752,0.33133355,0.015625017,0.03785178,0.0005758636,0.0013140697,0.00743372,0.0028956372,0.017826844,0.010547761,0.0048708483,0.020148968
18,0.22262502,0.05747611,0.13097091,0.25026554,0.5060766,0.736504,0.25188893,0.3567192,0.31293812,0.29443058,0.0021324293,0.05747611,0.024290074,0.06567289,0.0048060757,0.00016296179,0.0012537086,0.0076291678,0.010105359,0.0018654851
19,0.22822522,0.015543142,0.20396051,0.23948741,0.49504942,0.74790764,0.2580965,0.3818846,0.33719954,0.35389137,0.015524462,0.015543142,0.050089683,0.06353406,0.0055382648,0.03175666,0.0133409165,0.012306088,0.018675806,0.008590626
20,0.33495784,0.00023885055,0.1283457,0.25682235,0.5409149,0.8174515,0.26942664,0.3813091,0.35009676,0.36729473,0.056031886,0.00023885055,0.00083043403,0.07210511,0.04455301,0.043869387,0.02124571,0.00060698634,0.0005918248,0.008750961
21,0.264639,0.00016705485,0.1393477,0.22346126,0.53360015,0.7887981,0.25097144,0.4033858,0.33463553,0.32839713,0.016818779,0.00016705485,0.010817115,0.039694473,0.033064466,0.0061377953,0.00070358824,0.00804283,5.2157034e-06,0.0009803425
22,0.23423344,0.055307977,0.11268623,0.16428362,0.52761024,0.8338214,0.24956372,0.366396,0.34336743,0.30723196,0.00036103226,0.055307977,0.00087207486,1.5375058e-06,0.03303032,0.076945096,0.0022737614,0.0052065924,0.0068934746,0.0002582229
