,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0032704882,-0.0020012609,0.019138888,-0.004729956,-0.0062216073,0.009969548,0.026218928,0.017925415,-0.001482537,0.01680262,0.096953414,0.0037546381,0.028421659,0.1305785,-0.017272906,-0.003977105,-0.0108159,0.07614987,0.015462834,0.005382407,0.122040346,0.0004654976,0.019165155,0.0090770535,0.012168547,0.020144965,0.0051749493,0.101416014,0.01856224,0.03476279,0.117830046,0.03968507,0.01505459,0.022675551,0.028392334,0.0020516017,0.012011302,0.01476687,0.015007509,0.015956856,0.02799096,0.014920773,0.007876489,0.008270488,0.0004987391,0.009138888,0.00027004382,0.0037783924,0.009969548,0.028718928,0.017925415,0.008517463,0.01680262,0.10195342,0.006254638,0.023421658,0.12557851,0.00022709327,0.008522894,0.0041840994,0.07614987,0.017962834,0.002882407,0.13954034,0.0029654976,0.006665155,0.004077053,0.022168547,0.015144965,0.00017494962,0.09641601,0.01856224,0.019762788,0.117830046,0.03718507,0.01505459,0.012675552,0.018392334,0.0095516015,0.004511302,0.0072668707,0.015007509,0.015956856,0.010490959,0.0074207727,0.01037649
2,-0.014732956,0.006066862,-0.0073101074,0.0029898956,0.050240748,-0.00029078627,0.040631995,0.060639556,0.01144373,0.021698881,0.08278071,0.020161621,0.071711265,0.022558896,-0.041595582,-0.03606064,-0.00459674,0.06451256,-0.042697288,0.01900559,-0.042064227,0.023092905,0.0039987117,0.014862825,0.026209822,-0.015590041,0.00012343643,0.027638566,-0.017640466,0.013317331,-0.051207483,0.08420026,-0.008944102,0.02396234,0.05816503,0.026302535,-0.08814478,0.010228276,0.08126392,0.011162385,0.07167396,0.010899754,0.09481792,0.00010325094,0.007611466,0.043401297,0.0020573025,0.013029313,0.0005832288,0.013395104,0.060639556,0.0117282625,0.02028473,0.04310185,0.0062007876,0.052735247,0.009449432,0.00040396536,0.015896788,0.07464815,0.0442201,0.023465073,0.035350878,0.008801436,0.022910018,0.0010425738,0.00014861707,0.03342742,0.0013759573,0.00022127466,0.023229985,7.414797e-05,0.00012681182,0.0117227975,0.07830118,0.00506537,0.020701727,0.10984112,0.016271915,3.1411626e-05,0.017706836,0.022491165,0.027611027,0.013912901,0.0040415507,0.093539685
3,-0.009522326,-0.021661134,0.036056045,0.002612668,0.005086291,-0.003069099,0.19099262,0.0010065732,-0.0109891305,0.017524872,0.00017815155,0.08211925,0.095238015,0.0707704,0.0077306572,-0.033071443,-0.06262374,-0.041622307,0.073736,0.038510103,0.1144263,0.004652653,0.057844,0.030005923,-0.0026784292,0.0710652,0.057394814,0.019520998,-0.044434413,0.02421445,0.016922452,0.00058068894,0.094395325,-0.060166106,0.04917723,0.08510001,-0.039771874,-0.06567162,-0.029383598,-0.04269111,-0.028904624,-0.0021379972,0.0019949498,0.00045930894,0.0036678263,0.004117814,0.0014516216,0.0003702302,0.012252392,0.15201138,0.0010065732,0.007884002,0.0018376181,8.585649e-06,0.019094383,0.057550717,0.0504544,0.0030913788,0.02651223,0.018981162,0.021267477,0.1206079,0.046173006,0.06494526,0.003666505,0.04450378,0.00079209177,0.0008158743,0.07404466,0.057055306,0.028422756,0.021776373,0.00019832917,0.005998579,0.01637016,0.05734705,0.00061557273,0.11299217,0.038497806,0.018083662,0.0001528497,0.0056567104,0.003709125,0.006994433,0.009275789,0.01273099
4,-0.021302065,0.0130185755,0.05088154,0.013176871,-4.658848e-05,0.042979583,0.12058419,0.026794018,-0.028282784,0.011312351,0.028123807,0.04057357,-0.021541046,0.11968786,-0.035444405,0.21649832,0.05992485,-0.043978177,0.041981652,0.011264367,0.011389399,0.019000996,0.038008362,0.015346928,-0.02812496,0.030641431,0.02105639,-0.049142282,-0.025724828,0.22975783,-0.04718445,-0.0528242,0.023812685,0.1376904,-0.027275756,-0.009010171,0.0026781536,0.1625252,0.036685556,0.014109289,0.047569256,0.03403806,0.03230516,0.0024702211,0.0016357192,0.044796187,0.020657364,0.040681876,0.004544354,0.013990824,0.026794018,0.008772655,4.0733892e-05,0.046319015,6.405802e-05,0.02931044,0.024191553,0.0036958058,0.20600846,0.013514785,0.02666133,0.021201573,0.024733167,0.0076209516,0.008263286,0.030189512,0.0110348705,0.0021033746,0.017598182,0.0032668097,0.0013192045,0.005242948,0.19156098,0.020542372,0.017394556,0.007901666,0.0025987835,0.022348985,0.015532224,0.00018346825,0.048476554,0.04675205,0.0029663446,0.0015266517,0.010556176,0.042568564
5,-0.08245178,0.06478686,0.074580245,-0.121787526,0.02518854,0.06135299,0.013570222,6.9272687e-06,0.035844833,0.0028429097,-0.003638321,0.078316756,0.2053732,0.061800294,0.0038517357,-0.020548908,0.04088503,0.11975641,-0.010367015,-0.009101644,-0.037946556,-0.049184952,-0.05499845,0.023042008,-0.0030737538,0.05720429,-0.03590419,0.0033753142,0.104470246,0.007618388,0.035704512,0.14005513,-0.017466193,0.06004084,0.13832395,0.1164996,0.03919008,0.036230132,-0.011909576,-0.057009578,-0.026109083,0.08843872,0.0006606692,0.029012756,0.0224516,0.023181735,0.0027448488,0.04037279,0.055102825,0.0011563593,6.9272687e-06,0.017198358,0.0017044713,0.0071757906,0.021618137,0.0683864,0.001508197,0.00079924875,0.006720787,0.004973726,0.015631832,0.0001770075,0.05889935,0.008018755,0.012922565,0.0011209456,0.04664427,0.022518864,0.025796697,0.027809953,0.028081758,0.028712235,0.0052110264,0.011530268,3.722368e-05,0.00666132,0.040903993,0.004081243,0.07245689,0.0006018387,0.0022963674,0.0023594094,0.03010082,7.106891e-05,0.035115663,0.0006934508
6,0.069120586,-0.01638202,0.027698535,0.02307329,0.009146448,0.0691996,0.022739787,0.0054949448,-0.057110507,0.069384456,0.18544798,0.07630778,0.11242316,0.011386755,0.11830998,-0.022502057,-0.04634936,0.026541777,-0.08682279,-0.115938865,-0.051694196,0.050376974,-0.009749704,0.0139207635,0.09500463,0.04284317,-0.056830324,0.008755498,0.06497345,0.082765505,-0.008220906,0.1353097,-0.0016384404,-0.10381491,-0.17831704,0.03320291,0.019379716,-0.055892866,-0.020000761,-0.045171436,0.005077089,-0.17355019,0.07418248,0.035594534,0.00038446882,0.035378247,0.049473904,0.004629918,0.07935415,0.013789176,0.0054949448,0.01906171,0.09677745,0.038382534,0.026822818,0.023193067,0.004601644,0.033486217,0.008073944,0.02146473,0.008309907,0.027858533,0.001685937,0.0001446868,0.035097625,0.013539112,0.017482938,0.006611646,0.03171804,0.0032241463,0.037685305,0.10729286,0.08640264,0.0042373035,0.028404498,0.0033516325,0.0020738638,0.00021067799,0.00862036,0.048685845,0.0018390465,0.0002330908,0.045339752,0.0035994006,0.015160218,0.058822136
7,0.02989196,0.03464304,0.0352948,0.10533224,-0.013214017,-0.03439159,-0.032943297,0.004679542,0.058637753,0.02850174,-0.037191987,-0.047837462,-0.05031792,0.024876676,0.012548669,-0.063331865,0.046899393,-0.011816333,0.048329346,0.10590085,-0.04719947,0.09187438,0.08160122,-0.021237385,0.004737695,0.007378405,0.063612126,0.027440282,-0.011630773,-0.022938354,0.093116,-0.16999252,-0.018906828,0.0034317276,0.18004641,-0.06249609,0.10347822,0.006224081,0.09148815,0.25290185,-0.0048479424,0.13709712,0.11681005,0.049033906,0.027819537,0.0076759313,0.0015514868,0.0048998287,0.0011198589,0.009115092,0.004679542,0.046683956,0.0077209193,0.02204109,0.011099181,0.028308371,0.013506784,0.0052738106,0.022574851,0.025595658,0.012793147,0.007909527,0.034953736,0.005530064,0.007822946,0.04414727,0.0037317614,0.011399488,0.033273704,0.052331198,0.0012987572,0.008305696,0.0014873209,0.09241204,0.008782212,0.031375837,0.008371754,0.0152902575,0.04927031,0.09085929,0.04633004,0.08962171,0.13635874,0.0005143766,0.04167572,0.11010059
8,0.028897315,-0.010736231,-0.02964458,-0.0063160607,-0.014222477,-0.023607066,-0.021948427,0.11233374,0.08053982,0.012137378,0.0018661991,-0.015818676,-0.014647409,-0.016320433,-0.103448555,0.0076353466,-0.00914485,-0.09356432,-0.00074845646,0.092425674,0.005156012,-0.0069772527,0.06051359,0.14831702,-0.06985191,0.021242753,0.21269509,0.1545797,0.07483008,0.12877753,0.048172824,-0.06288828,0.04486254,0.1011691,-0.059926562,0.03469806,-0.004678671,-0.0042034243,0.0592236,0.06651794,0.12827264,0.079137206,-0.018272,0.0042855223,0.0039094375,0.00054828986,2.245001e-05,0.010946421,9.721703e-05,0.0030169033,0.11233374,0.07861065,0.0073535834,0.023550577,0.003923612,0.05711934,0.00015121602,0.052839253,0.007530758,0.033882633,0.008571165,0.010882257,0.035716303,0.0008349806,0.019083355,0.0031745264,0.00039145513,0.023614818,0.059073042,0.051736988,0.0152337905,0.13029426,0.0002548906,0.0014338633,0.00028195838,0.021265598,0.029779991,0.013443417,0.047373954,0.005326944,0.0018289083,0.011701018,0.0062669944,0.00208957,0.00035057595,0.001451727
9,-0.023137566,-0.004340139,-0.02382192,-0.035431553,-0.050698552,0.07829048,0.09469348,0.00552571,0.02164587,0.04364829,-0.0882017,0.020129543,0.05162137,-0.0036959741,-0.09472345,-0.021949757,0.07437587,0.063525796,0.087841086,0.06878997,0.09102104,-0.14693677,0.09521613,-0.00019859523,-0.026457205,0.030557537,0.022605643,-0.03651519,0.007857006,0.1661514,-0.05857998,0.07304632,0.05611433,0.031486664,-0.002768644,0.12367648,-0.065438464,0.15867625,0.057113238,-0.10489808,0.04466938,-0.04466396,-0.07409826,0.053061094,0.0137273995,0.017331604,0.00015030062,0.00031498267,0.0619279,0.07056512,0.00552571,0.07926481,0.004835979,0.012290602,0.012706991,0.0017236252,0.0072782394,0.022333326,0.0016986621,0.00824916,0.024613757,2.5707756e-08,0.0005908356,0.00012577757,4.8553757e-05,0.0038255325,0.036074318,0.00064155844,0.0061673387,0.006049097,0.00092740904,0.010701319,0.00033356727,0.0006643816,0.0036855785,0.016390793,0.0020189648,0.0018014044,0.02155344,0.0019528359,0.0002469568,0.061836295,0.059570204,0.01096601,0.00087053515,0.0324364
