,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05176288,0.017583236,-0.0049568512,0.012564894,0.011037532,0.023933163,0.004592481,0.0105550075,0.001842858,0.006926991,-0.00705879,0.000505873,0.018649809,0.07631135,0.0024527283,0.0027006094,0.018523235,-0.008989805,-0.0030102024,0.031621058,0.029050026,0.028084883,0.028419163,0.027299842,0.03666832,0.041762877,0.012583235,4.314842e-05,6.48948e-05,0.001037532,0.016433163,0.002092481,0.0030550074,0.001842858,0.0019269909,0.0029412096,0.010505873,0.0011498104,0.07381135,0.0049527283,0.0027006094,0.0035232347,0.021010192,0.0019897975,0.0141210575,0.061550025,0.013084884,0.018419163,0.012299842,0.02916832
2,0.09396962,-0.0030173417,0.0138072595,0.016680699,0.04057552,-0.007836028,0.015244875,0.037466146,0.020338839,0.01509818,0.022499742,0.0891529,0.05181972,-0.0017523854,-0.01915186,0.028477764,0.16082178,-0.036937032,0.13305047,0.057101175,-0.016983025,0.029844377,0.03717293,0.024216902,-0.016067019,0.08927976,0.009421859,0.00018093345,0.011212729,0.027726842,0.00046947662,0.0003233456,0.042084698,0.00851807,0.0072038053,0.0069215945,0.1126973,0.048849255,0.00027280903,0.00022853648,0.026459945,0.12589578,0.0076159285,0.102064,0.010066858,0.042850062,0.04152595,0.0032073504,0.01442518,0.000647795
3,0.0038997135,0.089499794,0.07976247,0.22264485,0.051396098,0.078228444,0.04590371,0.15192848,0.0059883045,-0.09593344,-0.068968885,0.006710208,0.07901264,-0.03487224,-0.024752686,0.061194673,0.10292195,0.082132995,-0.015572045,0.039511424,-0.13371012,0.028489437,0.05288186,0.022508636,-0.040534496,0.005926554,0.04560665,0.038818076,0.20331658,0.0029369092,0.046564497,0.010095547,0.03359691,0.019057272,0.00010706006,5.338558e-05,0.0006783298,0.0071955645,0.00021875816,0.002686822,0.011935086,0.012869362,0.091273196,0.023905914,0.0054630036,0.0004054124,0.07379109,0.00013010069,0.06332818,8.059331e-05
4,-0.0593198,0.020462275,0.038552266,-0.017301235,0.022657579,0.055093717,0.01310367,-0.01381683,0.05796931,0.09810805,-0.05915993,0.039296538,0.18101022,0.08391501,-0.05554192,0.05157804,0.11923656,0.04505489,-0.023940643,0.22133335,0.017997839,0.028626729,0.093815774,-0.0118353125,0.028350146,0.00102326,0.0007545528,0.033385586,1.0834642e-05,0.0134372,0.0023682143,0.001394058,0.006454482,0.043165743,0.06790904,0.019595671,0.010311834,0.00041688152,0.006254084,0.0025953702,0.0026665977,0.0691817,0.0088859275,6.308257e-05,0.07638229,0.017692782,0.018264297,0.0064293034,0.030514525,0.030825706
5,0.115255736,0.06926641,-0.053217754,0.12557095,0.032301113,0.061887242,0.1266763,0.009801125,0.046190903,-0.0033842223,-0.09929265,-0.13285069,0.0563452,-0.0065051354,-0.089554794,0.08391549,0.0005089983,-0.091995634,-0.025338905,0.075002074,-0.098411724,0.13404961,0.031835727,0.12987682,0.06927385,0.09397267,0.038142484,0.035727307,1.171182e-05,0.001926518,0.006818128,0.029555324,0.011516996,0.02819713,0.0023566084,0.026508585,0.002790513,0.00025066576,0.04198518,0.00089316274,0.0020124344,0.000289493,0.018869884,0.0064949566,0.008748587,5.6211542e-05,0.07784541,0.0012388318,0.06815084,0.0012042222
6,-0.017172998,-0.091247566,0.06999123,-0.019751824,0.0652549,-0.06472556,0.12626186,-0.05373114,0.08922531,-0.019305618,-0.013786331,0.12917988,0.11053302,0.00922012,0.16129804,0.065669015,0.03008087,-0.058493685,0.2355759,0.22495234,0.07052618,-0.12941067,0.18447398,0.0039171875,-0.016700547,0.029296512,0.00024484412,0.045304455,0.004736852,0.06571662,0.0055431286,0.013880572,0.02276503,0.0055464325,0.018353371,0.074480705,0.008139087,0.008710379,0.001015823,0.039895136,0.033767767,0.004245139,0.0021606998,3.159951e-05,0.031684883,4.9068694e-06,0.000109062676,0.007856685,0.0015426279,0.0030075086
7,0.117919296,0.16341892,0.08296381,0.0832261,0.049715128,0.11495169,0.040679723,0.22640394,0.067569524,0.068503276,0.10546912,0.07971547,-0.084847964,0.10421573,-0.007595273,0.07092727,0.017291026,-0.055823527,0.13881837,0.1474114,-0.10426241,0.053956594,0.06561067,0.085918546,-0.049309418,0.04692309,0.0012891276,0.03627372,0.0009881398,0.000581779,0.06555512,0.01657845,0.0020547104,0.111210845,0.09901185,0.0060170735,0.13507695,0.0011879018,0.0666991,0.0031926124,4.6038463e-06,0.0069113695,0.015188718,0.2004452,0.03160847,0.048860263,0.00011176472,0.08859616,0.123400345,4.6791443e-05
8,0.117475346,0.11026626,-0.03463998,0.23465177,0.25052992,0.05246957,-0.005282446,0.060308482,0.023536913,0.045241997,-0.05905531,0.026680442,0.03952041,0.06543338,-0.06347334,0.009495171,0.19287454,-0.09235849,0.11414002,0.16515079,-0.3318743,0.09542492,0.13961554,0.002713576,0.072116345,0.08702134,0.06192319,0.022361469,0.079710804,0.138898,0.0027971033,0.011731301,0.0062069343,0.052812554,0.0027481134,0.01442242,3.3143929e-06,0.0033902035,0.011793578,0.00022241955,0.00021647857,0.012347695,8.331986e-06,0.05575691,0.08557142,0.0017730303,0.13527787,0.044430632,0.012868781,0.00035989424
9,-0.007169079,-0.026440639,0.11513731,0.12026365,0.07599873,0.021200033,0.12802963,0.074551515,0.021719992,0.04380402,-0.13895333,0.1343632,0.28084564,0.005829412,-0.07685849,0.0059299134,0.15588276,-0.042571682,0.13952072,0.33451048,-0.091159284,-0.09932492,0.27153963,0.058695868,-0.119809404,0.0019465908,0.0031840142,0.13415377,0.05770768,0.022565158,0.0069766776,0.043746546,0.043540288,0.10162136,0.06622722,0.0016231592,0.007463413,0.0053552086,0.003992203,0.0036689027,0.01960307,0.028671743,0.004183588,0.06803823,0.07246084,0.02024693,3.528893e-05,0.011266888,0.009375806,0.002240268
