,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t)
0,0.054313738,0.006129046,0.038975183,0.044789426,0.03694702,0.026311506,0.027847253,0.038299195,0.022093024,0.030104795,0.02538873,0.11781315,0.008024129,0.0029744687,0.059891637
1,0.14727606,0.022654895,0.05634927,0.0017424216,0.030946001,0.14541405,0.045199025,0.039862715,0.1240111,0.12871234,0.092154995,0.049879864,0.097103655,0.021826815,0.12995894
2,0.023258213,0.029420871,0.08327276,0.013227251,0.024888497,0.14715773,0.17589207,0.13239184,0.17965199,0.18351573,0.17825878,0.08267321,0.047962736,0.00063013635,0.058043137
3,0.07051773,0.046904806,0.029058663,0.0070544253,0.0698676,0.24652204,0.18353753,0.10443671,0.13917746,0.31610012,0.15956019,0.21764225,0.090732336,0.0144573515,0.12141745
4,0.009760579,0.054263927,0.061361358,0.00053083786,0.14589351,0.36213177,0.24142349,0.13745683,0.28139442,0.34274125,0.14539428,0.09235697,0.080890045,0.07127749,0.14587362
5,0.045413736,0.03165075,0.07542878,0.018100701,0.07120274,0.37556317,0.212793,0.083786264,0.2772123,0.498137,0.23711981,0.14350018,0.10961088,0.0006289538,0.09756851
6,0.00279973,0.083783016,0.15347266,0.0015317219,0.09294949,0.38995707,0.24781513,0.20009011,0.2969524,0.42566738,0.21552333,0.12061553,0.07806827,0.029020432,0.13840431
7,0.0148237385,0.0767366,0.12074141,0.041957676,0.1002051,0.5183096,0.2756113,0.12994656,0.2575009,0.5525005,0.26701567,0.24233806,0.08108404,0.014283474,0.14974569
8,0.025677918,0.1089683,0.13115218,0.0033804995,0.088775456,0.5079512,0.28248933,0.1486574,0.57762766,0.6237357,0.22673759,0.20195363,0.08838115,0.0076652346,0.21470687
9,0.029645799,0.06978863,0.1128798,0.00084946805,0.07697614,0.5405692,0.3032968,0.21443513,0.37240112,0.6085259,0.28626484,0.1944639,0.1256427,0.001753468,0.1748828
