,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t),x18(t),x19(t),x20(t),x21(t),x22(t),x23(t),x24(t),x25(t),x26(t),x27(t),x28(t),x29(t),x30(t),x31(t),x32(t),x33(t),x34(t)
0,0.039532155,0.012952544,-0.004837944,0.08491881,0.05928182,0.0055171307,0.04705073,-0.0020941645,0.019517777,0.06569599,0.016535621,-0.004199228,0.016789652,0.02668669,0.039451722,0.021062192,0.012563372,0.024297167,0.016098168,0.0017266382,0.017410092,0.05099245,0.0077665886,0.08999737,0.009952219,0.010954674,0.057718128,0.13339204,0.016032837,0.044741124,-0.004966395,0.010003669,0.010602898,0.028781313,0.15281485
1,0.101500005,0.14464977,-0.026604313,0.03811,0.07363549,0.005968418,0.043136116,0.03951143,0.05657354,0.072641656,0.031711645,-0.016084448,0.09607935,0.070211664,0.031665288,0.08635671,0.016059095,0.09592201,0.02833113,-0.0046769716,0.13444746,-0.009146616,0.01299915,0.0387548,0.07455619,0.0020539442,0.0632266,-0.0006327607,-0.01616288,0.011522934,0.043255508,0.021666072,0.021710614,-0.08362189,0.055962767
2,0.021581909,-0.006981885,-0.0073499084,-0.03693091,0.03247957,0.003226602,0.08710222,-0.01301628,0.105581306,0.054387596,0.107770525,-0.021036377,0.007624671,0.054419864,0.03206426,0.1396176,0.046822105,0.041333087,0.02847601,0.013414471,0.061525725,0.036329582,0.06957702,0.023521807,0.048387025,-0.047046233,0.24380174,0.0061354265,0.061112657,0.0055413004,0.31120864,-0.0683817,0.030366447,-0.028962785,0.011605028
3,0.015025596,0.007233432,-0.016574647,-0.014873425,0.06087718,0.017842893,0.07452641,0.013897991,0.05123144,0.07335921,0.07996812,-0.042245004,0.024922498,-0.10242234,0.2997203,0.042282563,0.018380906,0.10245723,-0.015294561,0.09142515,0.0456305,0.028088368,0.0638194,0.023815773,0.02722147,0.0068435483,0.1098577,0.006006811,0.06942783,-0.05598366,0.03591285,0.015706163,0.17954464,-0.023780676,-0.016759489
4,0.0035649347,-0.0029824637,-0.1595239,0.016367063,0.08615908,0.013334831,0.2685089,-0.004861712,0.025162803,-0.0034987684,0.09007997,-0.034287438,0.039432537,-0.01039541,-0.016635986,0.022448407,0.10511034,0.09988987,0.025418593,0.08880311,0.07224145,0.109119646,0.08346483,0.045230605,0.03668114,-0.00017871568,0.22794186,0.02828977,0.23730205,0.023413178,0.06401368,-0.19786926,-0.07387926,0.008900584,0.07768096
5,0.02527839,0.040037178,-0.0257047,0.03452993,0.010465371,0.008333474,0.043816365,0.0111427,-0.06338901,0.16585018,0.05894148,-0.07515779,0.12464876,-0.09265345,-0.083654314,0.18732208,0.09737036,0.18760438,0.021635052,0.022957807,0.1763466,0.0019288659,0.08951372,0.016842287,0.004377869,0.16108239,0.30840605,-0.017025437,0.14568987,-0.010624283,0.16914888,0.16544305,0.14144926,0.066548906,0.1064994
6,0.021782726,0.052573282,0.10664118,0.035723057,0.1255621,0.008845599,-0.004303812,0.00074601173,0.112100914,0.11994541,-0.0103270775,-0.015002237,0.060839996,-0.033752844,0.018272728,0.01122213,0.056855798,0.11010331,0.050601143,-0.10675479,0.05377788,0.05488367,0.15854025,0.041593555,0.0898048,0.035623275,0.04628334,-0.042848494,0.03800497,-0.049491644,0.007521482,0.1158732,-0.024517864,0.0036185607,0.07524555
7,-0.020920366,0.042074203,-0.0563041,0.028281344,0.21849686,0.03660309,0.12823564,-0.011035578,0.11724055,0.07044802,0.010495143,0.064751945,0.03998262,-0.0018840439,-0.006147257,-0.0155865345,0.033620395,0.1085471,0.008990761,-0.043016594,0.13679379,-0.047053635,0.06739904,0.13400614,0.08532933,-0.044294238,0.04408507,0.035225578,0.103682965,0.024607038,0.024334105,0.041051585,-0.03584405,0.029625777,-0.058436267
8,0.15893087,0.06498623,-0.044130985,0.03644283,0.0980994,0.018609535,0.074509785,0.051037196,0.11279502,0.17225437,0.13097541,0.09712355,0.05611564,-0.06679353,-0.036046352,0.048098903,0.081529036,0.1492584,0.022361519,0.008584397,0.112573095,-0.07400281,0.12264575,0.01593806,0.054107472,0.07127419,0.10384282,-0.03962886,-0.010276749,0.058356278,0.0063433684,0.055398483,0.02536957,0.048351794,-0.0026954927
9,-0.019165674,0.038293917,-0.056543253,0.054461047,0.20583993,0.019800587,0.05671751,-0.033914953,0.07822268,0.057807636,0.07325272,-0.030099696,-0.04869285,0.007951485,0.011805359,0.019827195,0.070083454,0.058638684,-0.006717094,0.02996114,0.06536116,0.003615586,0.05338386,0.0118589755,0.08770337,-0.014794724,0.08451914,0.0023865374,0.011137966,0.04028053,-0.062109325,0.08375941,0.02272001,-0.045275476,0.13608423
10,0.0035653336,-0.02389997,-0.02554463,0.08034352,-0.033635877,0.046875328,0.07745288,0.017626911,0.07732503,0.07381839,0.06300978,0.035642773,0.00904532,-0.040393617,0.09079155,0.037304647,0.02909948,0.108501256,0.033143807,0.036305364,0.086378984,-0.014435235,0.029728435,0.022727843,0.03379905,0.021781107,0.110308565,-0.00062888814,0.018247124,0.013328784,0.13781227,-0.009996938,-0.005791029,-0.07247793,0.001006008
11,0.06901917,0.0050915703,-0.09581835,0.04272575,0.0024970402,0.08523247,0.12865472,-0.008342076,0.012214093,-0.03898433,0.064805485,-0.012023514,0.024040213,-0.055809222,0.12998319,0.022557115,0.056435637,0.03186336,0.06780545,0.04951799,0.013457314,0.003478039,-0.020719253,-0.042165074,0.036939703,-0.009602733,0.1872206,0.0632191,0.046976984,-9.52522e-05,0.01884088,-0.033583563,-0.024215337,-0.010620313,0.081902936
12,0.035088554,0.031011455,-0.012441054,0.003944791,0.008311607,0.04529409,0.22817591,0.19573489,-0.017828325,-0.002118618,0.03471995,-0.056615405,0.040240575,-0.056185793,-0.0014709039,0.066819154,0.086612314,0.10008531,0.0234517,0.08386138,0.07651698,-0.05626622,0.036808014,-0.12992747,-0.0045241863,0.02965923,0.13952579,0.0181861,0.015430216,0.054633383,0.034851372,-0.059742983,0.15299588,-0.060810026,0.1406984
13,0.016904555,-0.009482756,-0.046002045,-0.0010045469,-0.039770775,0.17785218,0.068667054,-0.0773633,-0.0789507,0.040670328,0.045081772,-0.04764121,0.02838362,0.1509657,0.0413983,0.08945711,0.049443074,0.06972514,0.047002107,0.007093519,0.004308043,0.07244785,-0.025852162,0.01134067,0.0041597746,-0.02662901,0.12803192,0.082853496,-0.011982557,-0.020652812,0.058961783,-0.018934611,0.018655866,-0.12785672,0.14299619
14,0.04209202,-0.0040585846,-0.055176675,-0.029167335,-0.037486564,0.1303749,0.15141985,0.05971013,0.0022478867,-0.032675706,-0.030761886,-0.030056242,0.08977729,-0.06398713,0.062803194,0.050651815,0.063734755,0.04577702,0.08006261,0.055943333,0.010667405,-0.0009292513,0.06256016,-0.014484434,0.14356886,0.018531185,0.17530295,0.047296833,0.024371374,-0.029016774,0.057173304,-0.035367217,-0.011267243,-0.10039562,0.15460941
15,0.06972958,-0.010165331,-0.039331064,-0.028650073,-0.044320278,0.08057067,0.18204178,0.0610979,0.0070154946,-0.05861185,0.032806855,-0.07570725,0.03073075,0.09410092,0.02274745,0.04153258,0.06738582,0.076702744,-0.041649573,0.08468167,0.06429902,-0.058953345,0.039395586,-0.058539882,0.015715122,0.016050665,0.09953773,0.09336093,0.010621676,-1.2852252e-06,0.044718627,-0.06380579,-0.032784652,-0.09306028,0.086830825
16,0.15047152,-0.064176485,0.0027913302,-0.026786748,-0.027307963,0.04157083,0.1392116,-0.006750119,-0.045603994,0.017402947,0.048365016,-0.085862026,0.028313722,0.053632107,0.099144995,0.08094861,0.05593309,-0.015281649,0.0059124567,0.0014865047,0.021038685,0.21719858,0.07436901,0.039221242,-0.00020287,-0.02533844,0.10852906,0.037174806,-0.027760856,0.024934292,0.07995824,-0.06966155,-0.0025196923,-0.087599106,0.14905149
