,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.039532155,0.012952544,-0.004837944,0.08491881,0.05928182,0.0055171307,0.04705073,-0.0020941645,0.019517777,0.06569599,0.016535621,-0.004199228,0.016789652,0.02668669,0.039451722,0.021062192,0.012563372,0.024297167,0.016098168,0.0017266382,0.017410092,0.05099245,0.0077665886,0.08999737,0.009952219,0.010954674,0.057718128,0.13339204,0.016032837,0.044741124,-0.004966395,0.010003669,0.010602898,0.028781313,0.15281485,0.034532156,0.0029525438,0.0051620556,0.07991881,0.03928182,0.0005171309,0.029550731,0.00040583554,0.0045177783,0.055695996,0.0065356204,0.0008007722,0.0067896536,0.02668669,0.039451722,0.008562193,0.0075633717,0.011797166,0.016098168,0.0017266382,0.009910093,0.05099245,0.0027665885,0.08499737,0.0049522193,0.013454675,0.042718127,0.13089204,0.011032838,0.047241125,3.360512e-05,3.6695358e-06,0.0031028984,0.033781312,0.14781485
2,0.101500005,0.14464977,-0.026604313,0.03811,0.07363549,0.005968418,0.043136116,0.03951143,0.05657354,0.072641656,0.031711645,-0.016084448,0.09607935,0.070211664,0.031665288,0.08635671,0.016059095,0.09592201,0.02833113,-0.0046769716,0.13444746,-0.009146616,0.01299915,0.0387548,0.07455619,0.0020539442,0.0632266,-0.0006327607,-0.01616288,0.011522934,0.043255508,0.021666072,0.021710614,-0.08362189,0.055962767,0.034803987,0.122210026,0.0052701305,0.0041968008,0.015863199,0.0032098528,0.0011176401,0.005116339,9.6745025e-05,0.03611544,0.021089436,0.0074409163,0.0038871027,0.07825212,0.042164903,0.006127338,0.00012187336,0.0325726,0.013398229,0.019631134,0.12993842,0.001844393,0.007292698,0.0034160856,0.041708186,0.0036311096,0.007735771,0.00031237528,0.009099689,0.0056300317,0.0207391,0.004300903,0.001715865,0.0006657087,0.000103275954
3,0.021581909,-0.006981885,-0.0073499084,-0.03693091,0.03247957,0.003226602,0.08710222,-0.01301628,0.105581306,0.054387596,0.107770525,-0.021036377,0.007624671,0.054419864,0.03206426,0.1396176,0.046822105,0.041333087,0.02847601,0.013414471,0.061525725,0.036329582,0.06957702,0.023521807,0.048387025,-0.047046233,0.24380174,0.0061354265,0.061112657,0.0055413004,0.31120864,-0.0683817,0.030366447,-0.028962785,0.011605028,0.021898288,0.020663494,0.056443736,0.008586779,0.004406768,0.00024239304,0.0006025611,0.006897627,0.0030459827,0.06602935,0.08182224,0.0005316809,0.012514359,0.0074852267,0.002355067,0.12551695,0.014925283,0.00697816,0.038982056,0.0010139787,0.0080991145,0.040975995,0.0053425934,0.00533259,0.012066196,0.030720454,0.19567,0.025700212,0.03347276,0.03055924,0.28093046,0.02420545,0.050246116,0.025811976,0.0014334287
4,0.015025596,0.007233432,-0.016574647,-0.014873425,0.06087718,0.017842893,0.07452641,0.013897991,0.05123144,0.07335921,0.07996812,-0.042245004,0.024922498,-0.10242234,0.2997203,0.042282563,0.018380906,0.10245723,-0.015294561,0.09142515,0.0456305,0.028088368,0.0638194,0.023815773,0.02722147,0.0068435483,0.1098577,0.006006811,0.06942783,-0.05598366,0.03591285,0.015706163,0.17954464,-0.023780676,-0.016759489,0.011957883,0.00747682,0.020124026,0.01450468,0.031977877,0.016229592,0.015144781,0.005855994,0.07715233,0.046797603,0.020470226,0.0013061069,0.003689993,0.0046775243,0.1746723,0.0071201017,3.1569267e-05,0.021535048,0.0010971281,0.08896607,0.0024490713,8.3973455e-06,0.063536964,0.061142113,2.7671793e-05,0.027634291,0.0069367215,0.0025599243,0.03598142,0.00022824663,0.03211086,0.00035901283,0.03931995,0.00018369422,0.046215814
5,0.0035649347,-0.0029824637,-0.1595239,0.016367063,0.08615908,0.013334831,0.2685089,-0.004861712,0.025162803,-0.0034987684,0.09007997,-0.034287438,0.039432537,-0.01039541,-0.016635986,0.022448407,0.10511034,0.09988987,0.025418593,0.08880311,0.07224145,0.109119646,0.08346483,0.045230605,0.03668114,-0.00017871568,0.22794186,0.02828977,0.23730205,0.023413178,0.06401368,-0.19786926,-0.07387926,0.008900584,0.07768096,0.0005615293,0.016555155,0.04156486,0.04108538,0.035725486,0.004413385,3.2943353e-05,0.00058558077,0.0017851199,0.022852967,0.018751673,0.0029757672,0.022384947,0.008949148,0.000121506826,0.023284841,0.0045659593,0.04845416,0.014084412,0.049669597,1.7044158e-05,0.0040002754,0.050305326,0.005717639,1.5396859e-06,0.006476373,0.07643391,0.03635666,0.1257169,0.026214657,0.008995759,0.030913549,0.000988875,0.0044305557,0.0055994918
6,0.02527839,0.040037178,-0.0257047,0.03452993,0.010465371,0.008333474,0.043816365,0.0111427,-0.06338901,0.16585018,0.05894148,-0.07515779,0.12464876,-0.09265345,-0.083654314,0.18732208,0.09737036,0.18760438,0.021635052,0.022957807,0.1763466,0.0019288659,0.08951372,0.016842287,0.004377869,0.16108239,0.30840605,-0.017025437,0.14568987,-0.010624283,0.16914888,0.16544305,0.14144926,0.066548906,0.1064994,0.011133504,0.022877587,0.01592224,0.019549072,0.016417328,0.001666059,0.00964661,0.0016394017,0.014421545,0.0005511157,0.0019585239,0.059096664,0.055944048,0.0048221448,0.0029898738,0.074135914,0.076556884,0.083074026,0.0026323362,0.033714525,0.00759463,0.04493885,0.13747282,0.020444136,0.006127253,0.075318895,0.12089978,0.007755004,0.084461465,0.0014746123,0.015574444,0.1501888,0.0031998586,0.07638558,0.022080507
7,0.021782726,0.052573282,0.10664118,0.035723057,0.1255621,0.008845599,-0.004303812,0.00074601173,0.112100914,0.11994541,-0.0103270775,-0.015002237,0.060839996,-0.033752844,0.018272728,0.01122213,0.056855798,0.11010331,0.050601143,-0.10675479,0.05377788,0.05488367,0.15854025,0.041593555,0.0898048,0.035623275,0.04628334,-0.042848494,0.03800497,-0.049491644,0.007521482,0.1158732,-0.024517864,0.0036185607,0.07524555,0.030295445,0.008481304,0.15861621,0.009051296,0.005229549,0.0046788626,0.0072635235,0.010573721,0.0009396626,2.6807202e-06,0.009888523,0.006905946,0.06838828,0.06466074,0.006543226,0.009354323,0.03086828,0.043660916,0.0024816298,0.011965938,0.0020328716,0.0064586843,0.102616444,0.006512051,0.006879713,5.2295134e-05,0.012410645,0.013383433,0.0025403025,0.0027068513,0.030480592,0.043008238,0.020559326,0.0097127855,0.0050670737
8,-0.020920366,0.042074203,-0.0563041,0.028281344,0.21849686,0.03660309,0.12823564,-0.011035578,0.11724055,0.07044802,0.010495143,0.064751945,0.03998262,-0.0018840439,-0.006147257,-0.0155865345,0.033620395,0.1085471,0.008990761,-0.043016594,0.13679379,-0.047053635,0.06739904,0.13400614,0.08532933,-0.044294238,0.04408507,0.035225578,0.103682965,0.024607038,0.024334105,0.041051585,-0.03584405,0.029625777,-0.058436267,0.0005038801,0.0149643505,0.007883917,0.0077562537,0.09100365,0.03218029,0.039891463,4.955071e-05,0.012220533,0.0021289433,0.00782208,0.06260004,0.033965033,0.0024921384,0.009094486,0.007226447,0.0015263868,0.016430095,0.0004310499,0.0029542919,0.0026715396,0.012332374,0.0060012015,0.004185145,0.025356626,0.01589703,0.02089605,0.002485282,0.022722874,0.00023175139,0.0034688471,0.009274945,0.010983733,0.044588346,0.007705191
9,0.15893087,0.06498623,-0.044130985,0.03644283,0.0980994,0.018609535,0.074509785,0.051037196,0.11279502,0.17225437,0.13097541,0.09712355,0.05611564,-0.06679353,-0.036046352,0.048098903,0.081529036,0.1492584,0.022361519,0.008584397,0.112573095,-0.07400281,0.12264575,0.01593806,0.054107472,0.07127419,0.10384282,-0.03962886,-0.010276749,0.058356278,0.0063433684,0.055398483,0.02536957,0.048351794,-0.0026954927,0.14131808,0.045677956,0.007068936,0.0021878413,0.002462365,0.00030798945,0.00016800988,0.03671301,0.0042290557,0.02130585,0.093863435,0.16124137,0.062029667,0.0036029485,0.0036280784,0.0066934912,0.055929072,0.0004206131,0.0042566485,0.010381637,0.0008255528,0.00053667394,0.086814955,0.01970037,0.018883465,0.0086982995,0.0023814815,0.038670395,0.0052628973,0.032951005,0.00025207934,5.047297e-05,0.047440626,0.001974869,0.0024246878
