,x0(t),x1(t),x2(t),x3(t),x4(t),x5(t),x6(t),x7(t),x8(t),x9(t),x10(t),x11(t),x12(t),x13(t),x14(t),x15(t),x16(t),x17(t)
0,0.04203091,0.03404892,0.00091033237,-0.027784873,0.030942522,0.01395951,-0.006054981,0.015908482,-0.01177795,0.020213528,0.029010084,-0.011755641,0.021717813,0.08586077,0.0425964,0.0085274745,0.0015584361,0.027653364
1,0.047582082,0.00719025,0.06023948,-0.045377012,-0.013817683,0.022441728,-0.055389997,0.051319413,-0.056794234,0.0484829,0.037266366,-0.022334004,-0.005824441,0.023566617,0.07693721,0.0444133,-0.032337695,0.012239987
2,-0.028996345,0.061292265,-0.01358237,-0.0010023147,-0.0148094185,0.018196557,-0.06386198,0.00848468,-0.059384927,0.02442837,0.0083597265,-0.040518954,-0.0026354284,0.015239901,0.052597385,-0.011506554,-0.015289916,0.053338457
3,0.0072542056,0.034565143,0.046215877,0.08565064,-0.039186142,-0.04972994,0.1177921,0.046584524,-0.068998255,0.05059038,0.012732364,-0.028663721,0.028593376,0.14071813,0.15692249,0.09161038,-0.0031850066,0.046471648
4,0.09188865,-0.10971171,-0.0012552012,-0.020542435,0.029309353,-0.0044148862,-0.07641825,0.05586552,-0.14262818,0.071323514,0.16967362,-0.06830232,-0.0029337448,0.12026967,0.18729863,0.00063470006,0.025017416,-0.05090736
5,0.0074061085,0.20993154,0.09341954,0.066804364,-0.030133886,0.0994063,-0.0888727,-0.073032804,0.08461645,0.028699394,0.040301412,-0.050185718,0.07185959,-0.01608499,0.12531498,0.047327265,-0.010203568,0.18132472
6,0.02802997,-0.06970084,-0.07005962,-0.116025075,-0.08962229,-0.09101351,-0.06935921,0.03408705,-0.12233189,0.0060408767,0.08840951,-0.10761833,0.20502624,0.16610202,0.14653389,0.15798125,-0.15284555,0.020171346
7,-0.10246842,0.06865271,-0.06278693,0.17998952,-0.00047198538,-0.14078805,-0.053452946,0.030511975,0.022526551,-0.037082788,0.05298207,-0.060568236,0.09451391,0.12430597,0.20868252,-0.111125484,0.12522568,0.08852041
8,0.091037944,-0.09161169,0.104237534,-0.08598411,-0.052512944,-0.0101105375,0.009354461,-0.016030058,0.06299493,0.17133522,0.049934626,-0.04050149,0.07253939,0.1122937,0.1858402,-0.13375884,0.054206386,-0.014970124
9,-0.05158507,0.07577626,-0.020746566,-0.0023214282,0.10854532,0.02765774,-0.11910061,-0.07058693,-0.109456,0.10506625,0.118555285,-0.1459535,0.10389337,0.082656175,0.15234013,-0.14705098,-0.067616,0.011615946
10,0.08226775,0.102688,0.20943043,0.078661695,-0.18508981,0.09591883,-0.037902303,0.044791844,-0.07874153,-0.050084528,-0.076620795,-0.03184998,-0.10974127,0.042429075,0.1927562,0.07786862,-0.06914063,0.14244059
11,-0.05023295,-0.011269491,-0.11190604,0.113863446,0.054748293,-0.2432312,-0.16508307,-0.027591469,-0.27964503,-0.050101846,0.09904884,-0.05742573,-0.04193724,-0.0019391747,0.106812276,0.14818886,-0.13099787,-0.09131898
12,0.1051231,0.042800188,0.1531434,0.13054787,-0.078374356,-0.00838877,0.15689257,0.07332897,0.2798578,-0.039347354,-0.15193608,0.07139908,-0.10946269,-0.14865959,0.04729992,0.079541,0.27686232,0.14395702
13,0.030812358,-0.12563664,-0.19947806,-0.09824044,0.12754518,-0.0684326,0.074513525,-0.07163236,-0.029354837,0.31181842,0.13144858,-0.080069706,0.28235647,0.13130435,-0.091653116,-0.08339949,-0.05594867,-0.13907583
14,0.043230005,0.10100507,0.23615804,-0.11149136,0.057027705,0.23351067,0.03523966,0.044117663,0.106773555,0.06424436,0.035132445,0.013562078,0.012724926,0.15994625,0.09280236,-0.03981121,0.13585682,0.3987984
15,-0.025165638,-0.12816797,-0.011742612,-0.17296405,0.056295596,-0.11974164,-0.30426458,0.057460733,-0.43857804,0.19342434,0.19132045,-0.11360502,0.1963906,0.17931719,0.18557796,0.12263686,-0.21061866,-0.08458788
