,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04446405,0.023105877,0.051548336,0.01390866,0.0071351766,0.017365769,0.024192797,0.0100032445,0.02025223,0.06252702,0.010830248,0.029609088,0.02198172,0.009340432,-0.001889045,0.010638217,0.011653087,0.024661459,0.0001301315,0.020542484,0.041416418,-0.007259342,-0.011816136,0.059464052,0.005605877,0.051548336,0.0039086603,0.0071351766,0.027365768,0.041692797,3.2448065e-06,0.0027522296,0.05752702,0.00083024777,0.027109088,0.009481722,0.0018404317,0.00061095494,0.00063821767,0.011653087,0.024661459,0.0001301315,0.013042484,0.02391642,0.00024065789,0.008183864
2,-0.014820322,0.090145476,-0.01763119,0.07660837,0.0025060303,-0.018504389,-0.038347173,0.023200504,0.06751529,0.014719017,0.105302714,0.034606595,0.058622222,-0.00276662,-0.011824947,0.058953486,0.007683637,0.015646737,0.0067777704,-0.0074822605,0.049197864,-0.056904253,-0.03974121,0.03788883,0.051517464,6.9419344e-05,0.05446387,0.0025060303,0.001601146,0.0021608449,0.0077737314,5.074806e-05,0.025906477,0.06861255,0.011606832,0.0073841927,0.0018885502,9.37168e-05,0.027974034,0.004291988,0.002915278,0.0064888443,0.0014307741,0.0011643728,0.00080361794,0.016880786
3,0.0055895466,0.07608287,0.037445337,-0.03202797,0.0005285686,-0.031345554,0.10409737,0.07904083,0.099085614,0.23607625,-0.0162072,-0.04868211,0.02249639,0.05807621,0.011512967,0.034642953,0.03991895,0.018979792,0.005926989,-0.026484761,0.022182913,0.043263912,-0.06402021,0.011806165,0.0051936335,0.028704658,0.005239752,0.0005285686,0.00016801388,0.07748496,0.05683021,0.02878689,0.18485154,5.433382e-07,0.0020074465,6.366498e-05,0.029815335,0.02408786,0.013785152,0.09245092,0.029175896,0.003160518,0.028475836,0.013450255,0.007941006,0.006814992
4,-0.07382512,0.10561787,-0.09273619,0.1409703,2.284256e-06,-0.047440574,0.0152947325,0.12742735,0.111733206,-0.09828872,0.14906214,0.10779295,0.20168507,-0.028093766,-0.045442536,0.018832795,0.028827664,0.15305102,0.02900116,-0.009518117,0.15315415,-0.040193107,-0.01889436,0.049539145,0.04262825,0.0016376157,0.10061568,2.284256e-06,0.005336624,0.0049905577,0.013892044,0.006081599,0.006322263,0.042572547,0.052890576,0.0008919431,0.009781306,0.002071239,0.02098372,0.00030358092,0.012829528,0.01685027,0.021119822,0.011594167,0.033657547,0.00063475536
5,0.020120967,0.10093495,0.13620432,-0.06642113,0.013843066,0.015717782,0.21136384,0.062120266,0.26082656,0.080809146,-0.023813482,-0.18633933,-0.040013693,0.19780682,0.047823194,0.07199255,0.16027826,0.06383111,0.11148118,-0.06014842,0.021314112,0.040699363,0.01530182,0.014282345,0.023952715,0.025414936,4.351717e-05,0.013843066,0.0014369258,0.023451766,0.001668974,0.14929467,0.0066578803,0.02131562,0.0058789733,0.005906081,0.014524801,0.01240389,0.00017453173,0.21473807,0.053441443,0.09747497,0.026527744,0.0488248,0.018311523,0.00122809
6,0.03876459,0.03738417,-0.007057097,0.11746229,0.0004603408,-0.049084283,0.021862354,0.19593978,0.030636936,-0.027039658,0.063385785,-0.04889768,0.16748853,-0.0710082,0.033504035,-0.0026061554,0.058429163,0.15018602,0.034728955,-0.01476304,0.15446822,-0.026286338,0.11222825,0.099774785,0.0040933634,0.025176104,0.02901045,0.0004603408,0.006009993,0.043240845,0.0010624862,0.0006133472,0.009857447,0.017293913,1.683716e-05,9.629241e-05,1.8816366e-06,0.050317064,0.016811,1.4754661e-05,0.009455661,0.005894045,0.0020929303,0.032970157,0.0025213999,0.0027420323
7,0.11010322,0.05216889,0.099361055,-0.014649846,0.08030252,0.07754753,0.085888505,0.08798236,-0.06230548,-0.037313625,0.22672635,-0.15338239,-0.018600194,0.13806078,0.065290615,0.092186555,-0.047726728,0.07288983,0.17308307,0.13340062,0.051105827,0.035193004,0.18218237,0.0995762,4.3279492e-06,0.010691918,0.002021872,0.08030252,0.00017453342,0.008736709,0.0008369453,0.015584042,0.0010904891,0.10562753,0.0008635004,0.00017938114,0.08935831,0.035313062,0.022333961,0.00026092093,0.0008240382,0.019143991,0.10415754,0.0036815926,0.0045413394,0.20106702
8,-0.051627114,0.15620394,0.034357496,0.09072794,0.0037260738,-0.1363985,-0.07410263,0.0541847,-0.0342017,0.03833945,0.21445453,0.058414172,0.1294339,-0.012997437,0.019570798,0.094380245,0.06019965,0.23377061,0.13545397,0.08820457,0.21468794,-0.008631863,0.10089619,0.12575504,0.028744504,0.022402644,0.023450915,0.0037260738,0.0027982695,0.0019133284,0.0006475137,0.009342033,0.01822284,0.0625089,0.016958144,0.061731957,0.05476052,0.02328546,0.002127019,0.076962374,0.004478708,0.06959495,3.906088e-05,0.027729308,0.00010399117,0.014458849
9,-0.13832954,0.18035415,-0.0019943821,0.03515555,0.040364634,-0.03786739,-0.053806663,0.10215633,0.08363269,0.101490416,0.1758758,-0.16739635,0.19485058,-0.002677863,-0.018693395,0.16788034,-0.1822752,0.21048495,0.12862411,0.13217711,0.1317403,-0.104561694,-0.12799911,0.005229233,0.016020676,0.0014508929,0.022292735,0.040364634,0.0047962447,0.022578316,0.012226155,0.006092882,0.086897224,0.00013161567,0.0059503363,0.059278365,0.00092922954,0.0061677666,0.01643409,6.2748945e-06,0.00064305874,0.03420311,0.00025987194,0.0045518824,0.0008530357,0.058167666
